geo,sex,time,arope_rate
EL,F,2015,18.7
EL,F,2016,18.0
EL,F,2017,19.5
EL,F,2018,20.7
EL,F,2019,22.5
EL,F,2020,22.1
EL,F,2021,22.3
EL,F,2022,23.4
EL,F,2023,27.4
EL,F,2024,28.1
EL,F,2025,30.9
EU27_2020,F,2015,20.6
EU27_2020,F,2016,21.1
EU27_2020,F,2017,21.0
EU27_2020,F,2018,21.6
EU27_2020,F,2019,21.8
EU27_2020,F,2020,22.5
EU27_2020,F,2021,22.0
EU27_2020,F,2022,22.8
EU27_2020,F,2023,22.0
EU27_2020,F,2024,21.5
EU27_2020,F,2025,21.2
EL,M,2015,15.9
EL,M,2016,14.8
EL,M,2017,17.0
EL,M,2018,17.2
EL,M,2019,17.9
EL,M,2020,16.1
EL,M,2021,15.6
EL,M,2022,18.0
EL,M,2023,19.6
EL,M,2024,20.9
EL,M,2025,23.6
EU27_2020,M,2015,14.7
EU27_2020,M,2016,15.2
EU27_2020,M,2017,15.2
EU27_2020,M,2018,16.0
EU27_2020,M,2019,16.1
EU27_2020,M,2020,16.6
EU27_2020,M,2021,16.2
EU27_2020,M,2022,16.7
EU27_2020,M,2023,16.6
EU27_2020,M,2024,16.3
EU27_2020,M,2025,15.8
EL,T,2015,17.5
EL,T,2016,16.6
EL,T,2017,18.4
EL,T,2018,19.2
EL,T,2019,20.5
EL,T,2020,19.4
EL,T,2021,19.3
EL,T,2022,21.0
EL,T,2023,23.9
EL,T,2024,24.9
EL,T,2025,27.7
EU27_2020,T,2015,18.0
EU27_2020,T,2016,18.5
EU27_2020,T,2017,18.5
EU27_2020,T,2018,19.1
EU27_2020,T,2019,19.3
EU27_2020,T,2020,20.0
EU27_2020,T,2021,19.5
EU27_2020,T,2022,20.1
EU27_2020,T,2023,19.7
EU27_2020,T,2024,19.2
EU27_2020,T,2025,18.8
