geo,age,time,arop_rate
EL,TOTAL,2003,20.7
EL,TOTAL,2004,19.9
EL,TOTAL,2005,19.6
EL,TOTAL,2006,20.5
EL,TOTAL,2007,20.3
EL,TOTAL,2008,20.1
EL,TOTAL,2009,19.7
EL,TOTAL,2010,20.1
EL,TOTAL,2011,21.4
EL,TOTAL,2012,23.1
EL,TOTAL,2013,23.1
EL,TOTAL,2014,22.1
EL,TOTAL,2015,21.4
EL,TOTAL,2016,21.2
EL,TOTAL,2017,20.2
EL,TOTAL,2018,18.5
EL,TOTAL,2019,17.9
EL,TOTAL,2020,17.7
EL,TOTAL,2021,19.6
EL,TOTAL,2022,18.8
EL,TOTAL,2023,18.9
EL,TOTAL,2024,19.6
EL,TOTAL,2025,19.6
EU27_2020,TOTAL,2013,16.8
EU27_2020,TOTAL,2014,17.3
EU27_2020,TOTAL,2015,17.4
EU27_2020,TOTAL,2016,17.5
EU27_2020,TOTAL,2017,16.9
EU27_2020,TOTAL,2018,16.8
EU27_2020,TOTAL,2019,16.5
EU27_2020,TOTAL,2020,16.7
EU27_2020,TOTAL,2021,16.8
EU27_2020,TOTAL,2022,16.5
EU27_2020,TOTAL,2023,16.2
EU27_2020,TOTAL,2024,16.2
EU27_2020,TOTAL,2025,16.3
EL,Y18-24,2003,24.0
EL,Y18-24,2004,21.8
EL,Y18-24,2005,21.4
EL,Y18-24,2006,23.7
EL,Y18-24,2007,24.3
EL,Y18-24,2008,23.0
EL,Y18-24,2009,22.3
EL,Y18-24,2010,27.6
EL,Y18-24,2011,26.9
EL,Y18-24,2012,33.1
EL,Y18-24,2013,34.1
EL,Y18-24,2014,33.3
EL,Y18-24,2015,29.9
EL,Y18-24,2016,29.0
EL,Y18-24,2017,28.4
EL,Y18-24,2018,27.4
EL,Y18-24,2019,26.4
EL,Y18-24,2020,23.7
EL,Y18-24,2021,27.7
EL,Y18-24,2022,26.5
EL,Y18-24,2023,28.2
EL,Y18-24,2024,26.1
EL,Y18-24,2025,24.2
EU27_2020,Y18-24,2013,22.7
EU27_2020,Y18-24,2014,23.8
EU27_2020,Y18-24,2015,23.6
EU27_2020,Y18-24,2016,24.0
EU27_2020,Y18-24,2017,23.0
EU27_2020,Y18-24,2018,22.7
EU27_2020,Y18-24,2019,22.5
