geo,age,time,arope_rate,arope_persons_ths
EL,TOTAL,2015,32.4,3470
EL,TOTAL,2016,32.6,3469
EL,TOTAL,2017,32.2,3429
EL,TOTAL,2018,30.3,3191
EL,TOTAL,2019,29.0,3059
EL,TOTAL,2020,27.4,2880
EL,TOTAL,2021,28.3,2971
EL,TOTAL,2022,26.3,2722
EL,TOTAL,2023,26.1,2658
EL,TOTAL,2024,26.9,2744
EL,TOTAL,2025,27.5,2797
EU27_2020,TOTAL,2015,24.0,104946
EU27_2020,TOTAL,2016,23.7,103556
EU27_2020,TOTAL,2017,22.4,98142
EU27_2020,TOTAL,2018,21.7,95066
EU27_2020,TOTAL,2019,21.1,92235
EU27_2020,TOTAL,2020,21.5,94479
EU27_2020,TOTAL,2021,21.7,95427
EU27_2020,TOTAL,2022,21.6,95307
EU27_2020,TOTAL,2023,21.3,94441
EU27_2020,TOTAL,2024,21.0,93252
EU27_2020,TOTAL,2025,20.9,92732
EL,Y18-24,2015,43.6,304
EL,Y18-24,2016,44.6,302
EL,Y18-24,2017,42.1,287
EL,Y18-24,2018,39.0,261
EL,Y18-24,2019,37.5,249
EL,Y18-24,2020,35.0,238
EL,Y18-24,2021,37.5,258
EL,Y18-24,2022,33.4,228
EL,Y18-24,2023,33.1,224
EL,Y18-24,2024,34.5,237
EL,Y18-24,2025,33.2,235
EU27_2020,Y18-24,2015,29.7,10031
EU27_2020,Y18-24,2016,29.8,9891
EU27_2020,Y18-24,2017,28.1,9244
EU27_2020,Y18-24,2018,27.2,8862
EU27_2020,Y18-24,2019,26.6,8558
EU27_2020,Y18-24,2020,27.8,8934
EU27_2020,Y18-24,2021,27.3,8785
EU27_2020,Y18-24,2022,26.5,8624
EU27_2020,Y18-24,2023,26.0,8512
EU27_2020,Y18-24,2024,26.3,8676
EU27_2020,Y18-24,2025,26.3,8717
EL,Y25-49,2015,35.0,1327
EL,Y25-49,2016,36.1,1345
EL,Y25-49,2017,35.2,1292
EL,Y25-49,2018,31.9,1139
EL,Y25-49,2019,30.1,1058
EL,Y25-49,2020,28.3,976
EL,Y25-49,2021,29.3,989
EL,Y25-49,2022,26.9,893
EL,Y25-49,2023,24.9,810
EL,Y25-49,2024,25.4,812
EL,Y25-49,2025,25.1,784
EU27_2020,Y25-49,2015,23.3,34889
EU27_2020,Y25-49,2016,22.8,34144
EU27_2020,Y25-49,2017,21.3,31566
EU27_2020,Y25-49,2018,20.3,29838
EU27_2020,Y25-49,2019,19.3,28138
EU27_2020,Y25-49,2020,19.6,28297
EU27_2020,Y25-49,2021,20.2,28891
EU27_2020,Y25-49,2022,20.0,28510
EU27_2020,Y25-49,2023,19.6,27971
EU27_2020,Y25-49,2024,19.2,27386
EU27_2020,Y25-49,2025,19.1,27015
EL,Y50-64,2015,34.8,742
EL,Y50-64,2016,35.3,757
EL,Y50-64,2017,34.9,755
EL,Y50-64,2018,33.4,731
EL,Y50-64,2019,31.9,707
EL,Y50-64,2020,29.2,655
EL,Y50-64,2021,30.5,692
EL,Y50-64,2022,27.6,615
EL,Y50-64,2023,26.3,586
EL,Y50-64,2024,28.2,632
EL,Y50-64,2025,27.5,619
EU27_2020,Y50-64,2015,25.6,22915
EU27_2020,Y50-64,2016,24.4,22041
EU27_2020,Y50-64,2017,23.3,21292
EU27_2020,Y50-64,2018,22.4,20611
EU27_2020,Y50-64,2019,22.1,20376
EU27_2020,Y50-64,2020,21.5,20006
EU27_2020,Y50-64,2021,21.9,20433
EU27_2020,Y50-64,2022,21.0,19639
EU27_2020,Y50-64,2023,20.8,19569
EU27_2020,Y50-64,2024,20.7,19531
EU27_2020,Y50-64,2025,20.8,19612
EL,Y_GE65,2015,17.5,388
EL,Y_GE65,2016,16.6,373
EL,Y_GE65,2017,18.4,418
EL,Y_GE65,2018,19.2,438
EL,Y_GE65,2019,20.5,472
EL,Y_GE65,2020,19.4,452
EL,Y_GE65,2021,19.3,455
EL,Y_GE65,2022,21.0,494
EL,Y_GE65,2023,23.9,558
EL,Y_GE65,2024,24.9,590
EL,Y_GE65,2025,27.7,666
EU27_2020,Y_GE65,2015,18.0,14793
EU27_2020,Y_GE65,2016,18.5,15409
EU27_2020,Y_GE65,2017,18.5,15608
EU27_2020,Y_GE65,2018,19.1,16454
EU27_2020,Y_GE65,2019,19.3,16759
EU27_2020,Y_GE65,2020,20.0,17788
EU27_2020,Y_GE65,2021,19.5,17643
EU27_2020,Y_GE65,2022,20.1,18489
EU27_2020,Y_GE65,2023,19.7,18424
EU27_2020,Y_GE65,2024,19.2,18134
EU27_2020,Y_GE65,2025,18.8,18073
EL,Y_LT18,2015,37.7,708
EL,Y_LT18,2016,37.2,692
EL,Y_LT18,2017,36.5,677
EL,Y_LT18,2018,34.1,621
EL,Y_LT18,2019,31.2,573
EL,Y_LT18,2020,30.8,559
EL,Y_LT18,2021,32.0,577
EL,Y_LT18,2022,28.1,491
EL,Y_LT18,2023,28.1,480
EL,Y_LT18,2024,27.9,473
EL,Y_LT18,2025,29.6,493
EU27_2020,Y_LT18,2015,27.4,22249
EU27_2020,Y_LT18,2016,27.1,22072
EU27_2020,Y_LT18,2017,25.1,20432
EU27_2020,Y_LT18,2018,23.9,19300
EU27_2020,Y_LT18,2019,22.8,18404
EU27_2020,Y_LT18,2020,24.1,19455
EU27_2020,Y_LT18,2021,24.5,19675
EU27_2020,Y_LT18,2022,24.8,20046
EU27_2020,Y_LT18,2023,24.9,19965
EU27_2020,Y_LT18,2024,24.2,19524
EU27_2020,Y_LT18,2025,24.3,19314
