geo,age,time,deprivation_rate
EL,TOTAL,2015,17.6
EL,TOTAL,2016,18.4
EL,TOTAL,2017,18.3
EL,TOTAL,2018,16.1
EL,TOTAL,2019,15.8
EL,TOTAL,2020,14.9
EL,TOTAL,2021,13.9
EL,TOTAL,2022,13.9
EL,TOTAL,2023,13.5
EL,TOTAL,2024,14.0
EL,TOTAL,2025,14.9
EU27_2020,TOTAL,2015,9.7
EU27_2020,TOTAL,2016,9.0
EU27_2020,TOTAL,2017,7.8
EU27_2020,TOTAL,2018,7.1
EU27_2020,TOTAL,2019,6.7
EU27_2020,TOTAL,2020,6.7
EU27_2020,TOTAL,2021,6.3
EU27_2020,TOTAL,2022,6.7
EU27_2020,TOTAL,2023,6.8
EU27_2020,TOTAL,2024,6.4
EU27_2020,TOTAL,2025,6.3
EL,Y18-24,2015,19.5
EL,Y18-24,2016,20.6
EL,Y18-24,2017,18.8
EL,Y18-24,2018,14.4
EL,Y18-24,2019,15.8
EL,Y18-24,2020,16.1
EL,Y18-24,2021,14.5
EL,Y18-24,2022,16.2
EL,Y18-24,2023,14.7
EL,Y18-24,2024,17.6
EL,Y18-24,2025,17.8
EU27_2020,Y18-24,2015,8.1
EU27_2020,Y18-24,2016,7.6
EU27_2020,Y18-24,2017,6.4
EU27_2020,Y18-24,2018,5.7
EU27_2020,Y18-24,2019,5.2
EU27_2020,Y18-24,2020,6.4
EU27_2020,Y18-24,2021,5.8
EU27_2020,Y18-24,2022,5.8
EU27_2020,Y18-24,2023,5.9
EU27_2020,Y18-24,2024,5.7
EU27_2020,Y18-24,2025,5.7
EL,Y25-49,2015,19.5
EL,Y25-49,2016,20.4
EL,Y25-49,2017,19.8
EL,Y25-49,2018,16.3
EL,Y25-49,2019,15.9
EL,Y25-49,2020,15.6
EL,Y25-49,2021,14.4
EL,Y25-49,2022,14.1
EL,Y25-49,2023,12.9
EL,Y25-49,2024,13.4
EL,Y25-49,2025,14.0
EU27_2020,Y25-49,2015,9.3
EU27_2020,Y25-49,2016,8.6
EU27_2020,Y25-49,2017,7.4
EU27_2020,Y25-49,2018,6.6
EU27_2020,Y25-49,2019,6.1
EU27_2020,Y25-49,2020,6.4
EU27_2020,Y25-49,2021,5.9
EU27_2020,Y25-49,2022,6.5
EU27_2020,Y25-49,2023,6.7
EU27_2020,Y25-49,2024,6.1
EU27_2020,Y25-49,2025,6.1
EL,Y50-64,2015,18.9
EL,Y50-64,2016,20.2
EL,Y50-64,2017,19.6
EL,Y50-64,2018,18.7
EL,Y50-64,2019,17.4
EL,Y50-64,2020,14.7
EL,Y50-64,2021,14.8
EL,Y50-64,2022,14.8
EL,Y50-64,2023,13.9
EL,Y50-64,2024,14.9
EL,Y50-64,2025,15.6
EU27_2020,Y50-64,2015,10.9
EU27_2020,Y50-64,2016,9.6
EU27_2020,Y50-64,2017,8.6
EU27_2020,Y50-64,2018,8.0
EU27_2020,Y50-64,2019,7.5
EU27_2020,Y50-64,2020,7.2
EU27_2020,Y50-64,2021,6.8
EU27_2020,Y50-64,2022,7.0
EU27_2020,Y50-64,2023,7.3
EU27_2020,Y50-64,2024,7.0
EU27_2020,Y50-64,2025,6.8
EL,Y_GE65,2015,7.1
EL,Y_GE65,2016,8.0
EL,Y_GE65,2017,10.1
EL,Y_GE65,2018,10.9
EL,Y_GE65,2019,12.1
EL,Y_GE65,2020,10.6
EL,Y_GE65,2021,10.3
EL,Y_GE65,2022,10.8
EL,Y_GE65,2023,12.3
EL,Y_GE65,2024,12.8
EL,Y_GE65,2025,14.1
EU27_2020,Y_GE65,2015,7.4
EU27_2020,Y_GE65,2016,7.3
EU27_2020,Y_GE65,2017,6.8
EU27_2020,Y_GE65,2018,6.7
EU27_2020,Y_GE65,2019,6.5
EU27_2020,Y_GE65,2020,5.5
EU27_2020,Y_GE65,2021,5.3
EU27_2020,Y_GE65,2022,5.4
EU27_2020,Y_GE65,2023,5.5
EU27_2020,Y_GE65,2024,5.1
EU27_2020,Y_GE65,2025,4.9
EL,Y_LT18,2015,23.9
EL,Y_LT18,2016,24.2
EL,Y_LT18,2017,23.8
EL,Y_LT18,2018,19.9
EL,Y_LT18,2019,18.2
EL,Y_LT18,2020,19.0
EL,Y_LT18,2021,16.1
EL,Y_LT18,2022,15.5
EL,Y_LT18,2023,15.6
EL,Y_LT18,2024,13.9
EL,Y_LT18,2025,15.9
EU27_2020,Y_LT18,2015,11.8
EU27_2020,Y_LT18,2016,11.1
EU27_2020,Y_LT18,2017,9.3
EU27_2020,Y_LT18,2018,8.2
EU27_2020,Y_LT18,2019,7.5
EU27_2020,Y_LT18,2020,8.2
EU27_2020,Y_LT18,2021,7.5
EU27_2020,Y_LT18,2022,8.3
EU27_2020,Y_LT18,2023,8.4
EU27_2020,Y_LT18,2024,7.9
EU27_2020,Y_LT18,2025,7.9
