geo,hhcomp,time,arope_rate
EL,A1_GE65,2015,23.0
EL,A1_GE65,2016,21.6
EL,A1_GE65,2017,22.5
EL,A1_GE65,2018,24.6
EL,A1_GE65,2019,25.9
EL,A1_GE65,2020,28.1
EL,A1_GE65,2021,28.7
EL,A1_GE65,2022,30.1
EL,A1_GE65,2023,33.8
EL,A1_GE65,2024,35.2
EL,A1_GE65,2025,38.7
EU27_2020,A1_GE65,2015,26.9
EU27_2020,A1_GE65,2016,27.2
EU27_2020,A1_GE65,2017,27.7
EU27_2020,A1_GE65,2018,28.8
EU27_2020,A1_GE65,2019,29.7
EU27_2020,A1_GE65,2020,31.2
EU27_2020,A1_GE65,2021,30.6
EU27_2020,A1_GE65,2022,31.2
EU27_2020,A1_GE65,2023,30.9
EU27_2020,A1_GE65,2024,30.0
EU27_2020,A1_GE65,2025,30.0
EL,A2_GE1_GE65,2015,18.2
EL,A2_GE1_GE65,2016,18.2
EL,A2_GE1_GE65,2017,19.2
EL,A2_GE1_GE65,2018,20.0
EL,A2_GE1_GE65,2019,21.3
EL,A2_GE1_GE65,2020,18.2
EL,A2_GE1_GE65,2021,19.2
EL,A2_GE1_GE65,2022,21.5
EL,A2_GE1_GE65,2023,22.3
EL,A2_GE1_GE65,2024,23.8
EL,A2_GE1_GE65,2025,26.2
EU27_2020,A2_GE1_GE65,2015,15.5
EU27_2020,A2_GE1_GE65,2016,16.2
EU27_2020,A2_GE1_GE65,2017,15.9
EU27_2020,A2_GE1_GE65,2018,16.1
EU27_2020,A2_GE1_GE65,2019,15.8
EU27_2020,A2_GE1_GE65,2020,16.4
EU27_2020,A2_GE1_GE65,2021,16.4
EU27_2020,A2_GE1_GE65,2022,16.6
EU27_2020,A2_GE1_GE65,2023,16.1
EU27_2020,A2_GE1_GE65,2024,16.1
EU27_2020,A2_GE1_GE65,2025,15.7
EL,TOTAL,2015,32.3
EL,TOTAL,2016,32.5
EL,TOTAL,2017,32.2
EL,TOTAL,2018,30.1
EL,TOTAL,2019,28.9
EL,TOTAL,2020,27.4
EL,TOTAL,2021,28.2
EL,TOTAL,2022,26.3
EL,TOTAL,2023,26.0
EL,TOTAL,2024,26.9
EL,TOTAL,2025,27.5
EU27_2020,TOTAL,2015,24.0
EU27_2020,TOTAL,2016,23.7
EU27_2020,TOTAL,2017,22.4
EU27_2020,TOTAL,2018,21.7
EU27_2020,TOTAL,2019,21.1
EU27_2020,TOTAL,2020,21.5
EU27_2020,TOTAL,2021,21.7
EU27_2020,TOTAL,2022,21.6
EU27_2020,TOTAL,2023,21.3
EU27_2020,TOTAL,2024,21.0
EU27_2020,TOTAL,2025,20.9
