age,time,legacy,revised,gap_pp
TOTAL,2015,35.7,32.4,-3.3
TOTAL,2016,35.6,32.6,-3.0
TOTAL,2017,34.8,32.2,-2.6
TOTAL,2018,31.8,30.3,-1.5
TOTAL,2019,30.0,29.0,-1.0
TOTAL,2020,28.8,27.4,-1.4
Y18-24,2015,50.9,43.6,-7.3
Y18-24,2016,49.7,44.6,-5.1
Y18-24,2017,47.0,42.1,-4.9
Y18-24,2018,43.3,39.0,-4.3
Y18-24,2019,40.5,37.5,-3.0
Y18-24,2020,39.3,35.0,-4.3
Y25-49,2015,36.8,35.0,-1.8
Y25-49,2016,37.5,36.1,-1.4
Y25-49,2017,36.6,35.2,-1.4
Y25-49,2018,33.0,31.9,-1.1
Y25-49,2019,31.0,30.1,-0.9
Y25-49,2020,30.1,28.3,-1.8
Y50-64,2015,40.4,34.8,-5.6
Y50-64,2016,40.3,35.3,-5.0
Y50-64,2017,39.2,34.9,-4.3
Y50-64,2018,35.8,33.4,-2.4
Y50-64,2019,34.2,31.9,-2.3
Y50-64,2020,31.6,29.2,-2.4
Y_GE65,2015,22.8,17.5,-5.3
Y_GE65,2016,22.0,16.6,-5.4
Y_GE65,2017,22.8,18.4,-4.4
Y_GE65,2018,21.3,19.2,-2.1
Y_GE65,2019,21.1,20.5,-0.6
Y_GE65,2020,20.1,19.4,-0.7
Y_LT18,2015,37.8,37.7,-0.1
Y_LT18,2016,37.5,37.2,-0.3
Y_LT18,2017,36.2,36.5,0.3
Y_LT18,2018,33.3,34.1,0.8
Y_LT18,2019,30.5,31.2,0.7
Y_LT18,2020,30.4,30.8,0.4
