geo,age,time,low_work_intensity_rate
EL,Y18-24,2015,22.0
EL,Y18-24,2016,21.9
EL,Y18-24,2017,20.2
EL,Y18-24,2018,19.0
EL,Y18-24,2019,17.3
EL,Y18-24,2020,15.2
EL,Y18-24,2021,16.3
EL,Y18-24,2022,14.2
EL,Y18-24,2023,11.6
EL,Y18-24,2024,10.2
EL,Y18-24,2025,8.6
EU27_2020,Y18-24,2019,8.7
EU27_2020,Y18-24,2020,9.3
EU27_2020,Y18-24,2021,9.6
EU27_2020,Y18-24,2022,8.9
EU27_2020,Y18-24,2023,9.0
EU27_2020,Y18-24,2024,8.6
EU27_2020,Y18-24,2025,8.4
EL,Y25-54,2015,15.7
EL,Y25-54,2016,16.1
EL,Y25-54,2017,14.7
EL,Y25-54,2018,13.5
EL,Y25-54,2019,12.6
EL,Y25-54,2020,11.8
EL,Y25-54,2021,12.6
EL,Y25-54,2022,10.4
EL,Y25-54,2023,8.9
EL,Y25-54,2024,7.8
EL,Y25-54,2025,6.8
EU27_2020,Y25-54,2019,7.8
EU27_2020,Y25-54,2020,7.9
EU27_2020,Y25-54,2021,8.7
EU27_2020,Y25-54,2022,7.9
EU27_2020,Y25-54,2023,7.5
EU27_2020,Y25-54,2024,7.6
EU27_2020,Y25-54,2025,7.5
EL,Y_LT18,2015,10.6
EL,Y_LT18,2016,10.9
EL,Y_LT18,2017,9.4
EL,Y_LT18,2018,9.0
EL,Y_LT18,2019,8.1
EL,Y_LT18,2020,7.9
EL,Y_LT18,2021,7.9
EL,Y_LT18,2022,5.2
EL,Y_LT18,2023,4.3
EL,Y_LT18,2024,3.7
EL,Y_LT18,2025,2.9
EU27_2020,Y_LT18,2019,6.5
EU27_2020,Y_LT18,2020,7.7
EU27_2020,Y_LT18,2021,8.5
EU27_2020,Y_LT18,2022,7.7
EU27_2020,Y_LT18,2023,7.6
EU27_2020,Y_LT18,2024,7.5
EU27_2020,Y_LT18,2025,7.6
