year,fit_r2,anchored_threshold_nominal_eur,anchored_poverty_rate,actual_arop_rate
2003,0.9938,5483.0,25.6,20.7
2004,0.9976,5647.0,22.8,19.9
2005,0.9993,5845.0,20.7,19.6
2006,0.9983,6038.0,21.5,20.5
2007,0.9985,6219.0,21.2,20.3
2008,0.9994,6480.0,19.7,20.1
2009,0.9972,6564.0,17.0,19.7
2010,0.9972,6873.0,18.0,20.1
2011,0.9998,7086.0,24.6,21.4
2012,0.9965,7157.0,33.3,23.1
2013,0.9931,7092.0,39.7,23.1
2014,0.9983,6993.0,40.6,22.1
2015,0.9968,6916.0,39.8,21.4
2016,0.9968,6916.0,39.8,21.2
2017,0.9993,6992.0,38.3,20.2
2018,0.9931,7048.0,37.3,18.5
2019,0.9962,7083.0,34.6,17.9
2020,0.9928,6991.0,30.8,17.7
2021,0.9976,7033.0,32.7,19.6
2022,0.999,7687.0,33.6,18.8
2023,0.9983,8010.0,32.0,18.9
2024,0.9957,8250.0,30.2,19.6
2025,0.9955,8490.0,27.5,19.6
