geo,geo_label,subjective_poverty,arop,gap
EL,Greece,67.2,19.6,47.6
BG,Bulgaria,36.1,21.2,14.900000000000002
RO,Romania,23.4,18.4,5.0
SK,Slovakia,23.1,12.2,10.900000000000002
IT,Italy,22.4,18.6,3.799999999999997
FR,France,21.7,16.3,5.399999999999999
ES,Spain,20.6,19.5,1.1000000000000014
PT,Portugal,20.3,15.4,4.9
HU,Hungary,20.1,14.0,6.100000000000001
LV,Latvia,20.0,22.0,-2.0
HR,Croatia,19.1,19.5,-0.3999999999999986
CY,Cyprus,18.200000000000003,14.9,3.3000000000000025
IE,Ireland,15.9,13.0,2.9000000000000004
BE,Belgium,15.5,10.9,4.6
SI,Slovenia,15.3,14.3,1.0
MT,Malta,15.1,16.9,-1.799999999999999
CZ,Czechia,13.8,9.6,4.200000000000001
EE,Estonia,13.4,19.5,-6.1
DK,Denmark,12.0,11.8,0.1999999999999993
LT,Lithuania,11.8,22.6,-10.8
AT,Austria,11.8,15.9,-4.1
PL,Poland,11.2,13.2,-2.0
SE,Sweden,10.1,15.6,-5.5
FI,Finland,9.0,13.4,-4.4
DE,Germany,7.4,16.1,-8.700000000000001
NL,Netherlands,7.3,13.4,-6.1000000000000005
LU,Luxembourg,7.1,14.8,-7.700000000000001
EU27_2020,European Union - 27 countries (from 2020),17.6,16.3,1.3000000000000007
