geo,sex,time,arope_rate
EL,F,2015,33.1
EL,F,2016,33.4
EL,F,2017,32.9
EL,F,2018,31.3
EL,F,2019,30.1
EL,F,2020,28.6
EL,F,2021,29.2
EL,F,2022,27.4
EL,F,2023,27.3
EL,F,2024,27.9
EL,F,2025,29.1
EU27_2020,F,2015,24.9
EU27_2020,F,2016,24.7
EU27_2020,F,2017,23.4
EU27_2020,F,2018,22.7
EU27_2020,F,2019,22.1
EU27_2020,F,2020,22.5
EU27_2020,F,2021,22.6
EU27_2020,F,2022,22.7
EU27_2020,F,2023,22.3
EU27_2020,F,2024,21.9
EU27_2020,F,2025,21.9
EL,M,2015,31.6
EL,M,2016,31.7
EL,M,2017,31.6
EL,M,2018,29.2
EL,M,2019,28.0
EL,M,2020,26.1
EL,M,2021,27.3
EL,M,2022,25.2
EL,M,2023,24.8
EL,M,2024,25.9
EL,M,2025,25.9
EU27_2020,M,2015,23.1
EU27_2020,M,2016,22.5
EU27_2020,M,2017,21.4
EU27_2020,M,2018,20.6
EU27_2020,M,2019,20.0
EU27_2020,M,2020,20.4
EU27_2020,M,2021,20.7
EU27_2020,M,2022,20.4
EU27_2020,M,2023,20.3
EU27_2020,M,2024,20.0
EU27_2020,M,2025,19.8
EL,T,2015,32.4
EL,T,2016,32.6
EL,T,2017,32.2
EL,T,2018,30.3
EL,T,2019,29.0
EL,T,2020,27.4
EL,T,2021,28.3
EL,T,2022,26.3
EL,T,2023,26.1
EL,T,2024,26.9
EL,T,2025,27.5
EU27_2020,T,2015,24.0
EU27_2020,T,2016,23.7
EU27_2020,T,2017,22.4
EU27_2020,T,2018,21.7
EU27_2020,T,2019,21.1
EU27_2020,T,2020,21.5
EU27_2020,T,2021,21.7
EU27_2020,T,2022,21.6
EU27_2020,T,2023,21.3
EU27_2020,T,2024,21.0
EU27_2020,T,2025,20.9
