time,gr_arope,eu_arope,eu_arope_source,gr_arope_rank,n_countries_arope,gr_eu_arope_gap
2003,32.9,,,1,6,
2004,30.9,,,1,13,
2005,29.4,25.8,EU27_2007,6,25,3.599999999999998
2006,29.3,25.3,EU27_2007,5,25,4.0
2007,28.3,24.5,EU27_2007,7,27,3.8000000000000007
2008,28.1,23.7,EU27_2007,7,27,4.400000000000002
2009,27.6,23.3,EU27_2007,7,27,4.300000000000001
2010,27.7,23.9,EU27_2020,7,27,3.8000000000000007
2011,31.0,24.5,EU27_2020,6,27,6.5
2012,34.6,24.9,EU27_2020,4,27,9.700000000000003
2013,35.7,24.6,EU27_2020,3,28,11.100000000000001
2014,36.0,24.5,EU27_2020,3,28,11.5
2015,35.7,23.8,EU27_2020,3,28,11.900000000000002
2016,35.6,23.7,EU27_2020,3,28,11.900000000000002
2017,34.8,22.5,EU27_2020,3,28,12.299999999999997
2018,31.8,21.6,EU27_2020,3,28,10.2
2019,30.0,20.9,EU27_2020,3,27,9.100000000000001
2020,28.8,21.5,EU27_2020,3,27,7.300000000000001
2021,28.3,21.7,EU27_2020,3,27,6.600000000000001
2022,26.3,21.6,EU27_2020,3,27,4.699999999999999
2023,26.1,21.3,EU27_2020,4,27,4.800000000000001
2024,26.9,21.0,EU27_2020,3,27,5.899999999999999
2025,27.5,20.9,EU27_2020,2,27,6.600000000000001
