geo,geo_label,subjective_poverty,arope,gap
EL,Greece,67.2,27.5,39.7
BG,Bulgaria,36.1,29.0,7.100000000000001
RO,Romania,23.4,27.4,-4.0
SK,Slovakia,23.1,16.7,6.400000000000002
IT,Italy,22.4,22.6,-0.20000000000000284
FR,France,21.7,20.8,0.8999999999999986
ES,Spain,20.6,25.7,-5.099999999999998
PT,Portugal,20.3,18.6,1.6999999999999993
HU,Hungary,20.1,19.5,0.6000000000000014
LV,Latvia,20.0,24.7,-4.699999999999999
HR,Croatia,19.1,20.7,-1.5999999999999979
CY,Cyprus,18.200000000000003,17.1,1.1000000000000014
IE,Ireland,15.9,18.8,-2.9000000000000004
BE,Belgium,15.5,16.5,-1.0
SI,Slovenia,15.3,15.5,-0.1999999999999993
MT,Malta,15.1,19.4,-4.299999999999999
CZ,Czechia,13.8,11.5,2.3000000000000007
EE,Estonia,13.4,21.8,-8.4
DK,Denmark,12.0,17.9,-5.899999999999999
LT,Lithuania,11.8,26.3,-14.5
AT,Austria,11.8,18.6,-6.800000000000001
PL,Poland,11.2,15.0,-3.8000000000000007
SE,Sweden,10.1,18.6,-8.500000000000002
FI,Finland,9.0,17.2,-8.2
DE,Germany,7.4,21.2,-13.799999999999999
NL,Netherlands,7.3,15.8,-8.5
LU,Luxembourg,7.1,18.2,-11.1
EU27_2020,European Union - 27 countries (from 2020),17.6,20.9,-3.299999999999997
