key,label,unit,worse_high,pct_2008,val_2008,n_2008,pct_2024,val_2024,n_2024,status,status_label
work_effort_squeeze,"Work-effort squeeze (hours vs hourly pay, EU = 100)","index, EU=100",True,59.3,150.88,27,100.0,230.45,27,entered,entered worst fifth
wadj_a01,Wage-adjusted price pressure — Overall household consumption,"index, EU = 100",True,48.1,111.77,27,100.0,173.09,27,entered,entered worst fifth
hourly_comp,Compensation per hour worked (PPS),PPS per hour,False,55.6,13.8,27,100.0,14.2,27,entered,entered worst fifth
real_income_idx,Real household disposable income (2008 = 100),"index, 2008=100",False,51.9,100.0,27,100.0,84.13,26,entered,entered worst fifth
real_wages_idx,"Real wages, compensation per employee (own 2008 = 100)","index, 2008=100",False,51.9,100.0,27,100.0,68.18,27,entered,entered worst fifth
arop_threshold_real,Real AROP poverty threshold (own 2008 = 100),"index, 2008=100",False,51.9,100.0,26,100.0,78.77,26,entered,entered worst fifth
warm,Cannot keep home adequately warm,% of people,True,73.1,15.4,26,98.1,19.0,27,entered,entered worst fifth
working_hours,Actual weekly working hours (main job),hours/week,True,94.4,41.1,27,100.0,39.8,27,already,already worst fifth
fin_expectations,"Household financial expectations, next 12 months",balance (net %),False,100.0,-36.19,27,100.0,-43.24,27,already,already worst fifth
net_migration,"Net migration of nationals (per 1,000 population)","per 1,000 people",False,86.4,-0.54,22,96.2,-1.91,26,already,already worst fifth
s80s20,Income inequality (S80/S20 ratio),ratio,True,80.8,5.89,26,81.5,5.27,27,already,already worst fifth
hicp_food,"HICP inflation, food & non-alcoholic beverages",% annual change,True,14.8,5.3,27,77.8,3.1,27,outside,
real_gdp_pc,Real GDP per capita,chain-linked EUR,False,55.6,21420.0,27,77.8,19020.0,27,outside,
hicp,"HICP inflation, headline",% annual change,True,53.7,4.2,27,70.4,3.0,27,outside,
hicp_housing,"HICP inflation, housing & energy",% annual change,True,63.0,9.8,27,59.3,1.6,27,outside,
consumption_pc,Real household consumption per capita,chain-linked EUR,False,48.1,14770.0,27,48.1,14020.0,27,outside,
