geo,time,n_ind,n_worst
AT,2008,16,0
AT,2009,16,0
AT,2010,16,0
AT,2011,16,0
AT,2012,16,0
AT,2013,16,1
AT,2014,16,2
AT,2015,16,1
AT,2016,16,3
AT,2017,16,1
AT,2018,16,1
AT,2019,16,1
AT,2020,16,3
AT,2021,16,1
AT,2022,16,2
AT,2023,16,3
AT,2024,16,1
BE,2010,16,1
BE,2011,16,1
BE,2012,16,0
BE,2013,16,0
BE,2014,16,0
BE,2015,16,2
BE,2016,16,3
BE,2017,16,1
BE,2018,16,2
BE,2019,16,2
BE,2020,16,2
BE,2021,16,3
BE,2022,16,3
BE,2023,16,1
BE,2024,16,3
BG,2012,16,9
BG,2013,16,9
BG,2014,16,9
BG,2015,16,10
BG,2016,16,9
BG,2017,16,10
BG,2018,16,10
BG,2019,16,10
BG,2020,16,11
BG,2021,16,10
BG,2022,16,10
CY,2009,16,3
CY,2010,16,4
CY,2011,16,4
CY,2012,16,5
CY,2013,16,3
CY,2014,16,4
CY,2015,16,5
CY,2016,16,4
CY,2017,16,5
CY,2018,16,4
CY,2019,16,4
CY,2020,16,4
CY,2021,16,5
CY,2022,16,3
CY,2023,16,4
CY,2024,16,5
CZ,2008,16,3
CZ,2009,16,2
CZ,2010,16,1
CZ,2011,16,1
CZ,2012,16,4
CZ,2013,16,3
CZ,2014,16,4
CZ,2015,16,2
CZ,2016,16,2
CZ,2017,16,3
CZ,2018,16,1
CZ,2019,16,3
CZ,2020,16,3
CZ,2021,16,0
CZ,2022,16,2
CZ,2023,16,3
CZ,2024,16,2
DE,2008,16,0
DE,2009,16,1
DE,2010,16,0
DE,2011,16,1
DE,2012,16,1
DE,2013,16,1
DE,2014,16,3
DE,2015,16,2
DE,2016,16,0
DE,2017,16,0
DE,2018,16,0
DE,2019,16,0
DE,2020,16,0
DE,2021,16,1
DE,2022,16,0
DE,2023,16,1
DE,2024,16,1
DK,2008,16,1
DK,2009,16,2
DK,2010,16,1
DK,2011,16,1
DK,2012,16,2
DK,2013,16,1
DK,2014,16,1
DK,2015,16,1
DK,2016,16,1
DK,2017,16,1
DK,2018,16,1
DK,2019,16,1
DK,2020,16,0
DK,2021,16,1
DK,2022,16,0
DK,2023,16,0
DK,2024,16,0
EE,2008,16,6
EE,2009,16,3
EE,2010,16,8
EE,2011,16,8
EE,2012,16,5
EE,2013,16,6
EE,2014,16,2
EE,2015,16,1
EE,2016,16,1
EE,2017,16,3
EE,2018,16,4
EE,2019,16,1
EE,2020,16,0
EE,2021,16,2
EE,2022,16,5
EE,2023,16,3
EE,2024,16,4
EL,2008,16,4
EL,2009,16,3
EL,2010,16,7
EL,2011,16,8
EL,2012,16,8
EL,2013,16,8
EL,2014,16,7
EL,2015,16,8
EL,2016,16,8
EL,2017,16,10
EL,2018,16,9
EL,2019,16,9
EL,2020,16,9
EL,2021,16,9
EL,2022,16,9
EL,2023,16,10
EL,2024,16,11
ES,2008,16,0
ES,2009,16,1
ES,2010,16,2
ES,2011,16,2
ES,2012,16,3
ES,2013,16,3
ES,2014,16,3
ES,2015,16,4
ES,2016,16,4
ES,2017,16,4
ES,2018,16,4
ES,2019,16,4
ES,2020,16,5
ES,2021,16,6
ES,2022,16,5
ES,2023,16,4
ES,2024,16,7
FI,2008,16,0
FI,2009,16,1
FI,2010,16,0
FI,2011,16,1
FI,2012,16,2
FI,2013,16,3
FI,2014,16,2
FI,2015,16,1
FI,2016,16,1
FI,2017,16,1
FI,2018,16,0
FI,2019,16,1
FI,2020,16,1
FI,2021,16,1
FI,2022,16,1
FI,2023,16,2
FI,2024,16,2
FR,2008,16,0
FR,2009,16,0
FR,2010,16,0
FR,2011,16,0
FR,2012,16,0
FR,2013,16,0
FR,2014,16,1
FR,2015,16,1
FR,2016,16,1
FR,2017,16,1
FR,2018,16,2
FR,2019,16,2
FR,2020,16,1
FR,2021,16,1
FR,2022,16,1
FR,2023,16,1
FR,2024,16,2
HU,2008,16,5
HU,2009,16,8
HU,2010,16,7
HU,2011,16,6
HU,2012,16,8
HU,2013,16,5
HU,2014,16,5
HU,2015,16,8
HU,2016,16,9
HU,2017,16,8
HU,2018,16,9
HU,2019,16,9
HU,2020,16,10
HU,2021,16,9
HU,2022,16,9
HU,2023,16,10
HU,2024,16,8
IE,2008,16,1
IE,2009,16,1
IE,2010,16,1
IE,2011,16,3
IE,2012,16,1
IE,2013,16,3
IE,2014,16,2
IE,2015,16,2
IE,2016,16,3
IE,2017,16,3
IE,2018,16,2
IE,2019,16,1
IE,2020,16,1
IE,2021,16,0
IE,2022,16,0
IE,2023,16,0
IE,2024,16,1
IT,2008,16,0
IT,2009,16,1
IT,2010,16,2
IT,2011,16,0
IT,2012,16,2
IT,2013,16,2
IT,2014,16,2
IT,2015,16,4
IT,2016,16,4
IT,2017,16,5
IT,2018,16,6
IT,2019,16,6
