variable,r_level,p_level,r_firstdiff,p_firstdiff,n_firstdiff,r_detrended,p_detrended,n_detrended,p_level_fdr,survives_fdr_level,p_firstdiff_fdr,survives_fdr_firstdiff,p_detrended_fdr,survives_fdr_detrended
Long-term unemployment rate (12mo+),0.9333,0.0,0.9223,0.0,15,0.8594,0.0,16,0.0,True,0.0,True,0.0,True
Real household disposable income,-0.9272,0.0,-0.5302,0.0195,19,-0.9102,0.0,20,0.0,True,0.0265,True,0.0,True
"Severe material & social deprivation, new",0.9216,0.0001,0.3796,0.2794,10,0.1068,0.7547,11,0.0001,True,0.2949,False,0.7547,False
"AROP threshold, real terms",-0.8793,0.0,-0.6529,0.001,22,-0.7784,0.0,23,0.0,True,0.0038,True,0.0,True
Housing cost overburden,0.8574,0.0,0.5129,0.0174,21,0.8608,0.0,22,0.0,True,0.0255,True,0.0,True
"Severe material deprivation, legacy",0.8249,0.0,0.6539,0.0044,17,0.6197,0.0061,18,0.0001,True,0.0084,True,0.0068,True
Real GDP per capita,-0.8242,0.0,-0.4883,0.0211,22,-0.8166,0.0,23,0.0,True,0.0268,True,0.0,True
Households in arrears,0.8235,0.0,0.4726,0.0263,22,0.6676,0.0005,23,0.0,True,0.0313,True,0.0006,True
Unemployment rate,0.8054,0.0001,0.859,0.0,16,0.7995,0.0001,17,0.0002,True,0.0002,True,0.0002,True
Cannot keep home adequately warm,0.7982,0.0,0.6274,0.0018,22,0.8947,0.0,23,0.0,True,0.0044,True,0.0,True
"Real wages, compensation per employee",-0.7854,0.0,-0.2141,0.3514,21,-0.4246,0.0489,22,0.0,True,0.3514,False,0.0516,False
Cannot face unexpected expense,0.7585,0.0,0.5175,0.0136,22,0.5825,0.0035,23,0.0001,True,0.0216,True,0.0042,True
Youth unemployment rate (15-24),0.7113,0.002,0.7889,0.0005,15,0.808,0.0002,16,0.0027,True,0.0022,True,0.0003,True
Real household consumption per capita,-0.6988,0.0002,-0.5526,0.0076,22,-0.8427,0.0,23,0.0003,True,0.0132,True,0.0,True
Employment rate 20-64,-0.6913,0.0021,-0.7157,0.0018,16,-0.7708,0.0003,17,0.0027,True,0.0044,True,0.0005,True
"HICP inflation, headline",-0.5362,0.0084,-0.2457,0.2704,22,-0.673,0.0004,23,0.0099,True,0.2949,False,0.0006,True
AROPE (poverty or social exclusion),0.483,0.0196,0.7391,0.0001,22,0.9001,0.0,23,0.0219,True,0.0005,True,0.0,True
AROP,0.1905,0.3838,0.604,0.0029,22,0.6735,0.0004,23,0.4052,False,0.0062,True,0.0006,True
"Income inequality, S80/S20 ratio",0.147,0.5139,0.6377,0.0019,21,0.8235,0.0,22,0.5139,False,0.0044,True,0.0,True
