time,subjective_poverty,predicted,residual
2015,77.7,77.87727171674408,-0.17727171674407316
2016,76.80000000000001,80.0454578724931,-3.245457872493091
2017,77.19999999999999,78.57980691650504,-1.3798069165050464
2018,74.1,75.5892213375572,-1.4892213375572112
2019,71.0,73.0060115318096,-2.0060115318096052
2020,69.80000000000001,70.54209181165355,-0.7420918116535375
2021,71.0,66.60192783960093,4.398072160399067
2022,68.4,70.84265667774366,-2.4426566777436562
2023,67.0,69.12919858240645,-2.1291985824064454
2024,66.7,65.68942248483398,1.0105775151660197
