,aic_pps_pc,gdp_pps_pc,real_gdp_pc,consumption_pc,hourly_comp,saving_rate,unemployment_rate,ltu_rate,youth_unemployment,employment_rate,working_hours,real_wages_idx,real_income_idx,arop_threshold_real,pct_below_peak,hicp,hicp_food,hicp_housing,wadj_a01,work_effort_squeeze,severe_mat_soc_deprivation,housing_cost_overburden,debt_to_income,s80s20,net_migration,arrears,unexpected_expenses,warm,arop,arop_before_transfers,transfer_effect
aic_pps_pc,1.0,0.8642444194634229,0.9205548990933368,0.9716890741757829,0.9153873698310124,0.5505082814011282,-0.11915787457241703,-0.28496426641904055,-0.13875013121753368,0.19715276275433932,-0.7496223617741037,-0.25854693187460026,-0.3984049859283081,-0.4958307488412166,-0.016984317358740786,-0.5071556415485134,-0.6019459549013563,-0.32651442493522675,-0.8872260615757119,-0.8757700435855954,-0.5355781851287776,-0.03474178218495744,0.7655230208653081,-0.3800496522961836,-0.10588729372272632,-0.41637675997297596,-0.6245512257810427,-0.4396023739592548,-0.36838512792435996,0.053380949991622746,0.4023610766572166
gdp_pps_pc,0.8642444194634229,1.0,0.9801186975329663,0.8231570517078829,0.7672632917586462,0.513589212305288,-0.22293921871737335,-0.31838277715158875,-0.2206224877776949,0.20229424475439178,-0.5412962897692075,-0.11263817089254878,-0.21924364821033626,-0.36548146618464394,-0.07853697881307141,-0.3782681560345553,-0.5349895433125751,-0.14518738274751328,-0.7121064384624304,-0.7078792407417482,-0.4215121547012172,-0.12542647299970697,0.630541973257204,-0.32891503422022517,-0.09907820645178547,-0.3303751400016368,-0.49692153553258955,-0.42732809992234044,-0.30695346669515017,-0.04164678432668376,0.26130075580452616
real_gdp_pc,0.9205548990933368,0.9801186975329663,1.0,0.9063582458810202,0.8347817677913684,0.5316883827573285,-0.16883581138544634,-0.3023343429312641,-0.18338839920136998,0.21875539721115855,-0.6370068339498495,-0.1449660937784738,-0.2914727333350107,-0.445029204493603,-0.04930336260483356,-0.4597715047984712,-0.5891706868416786,-0.23462891839618322,-0.772078770097452,-0.783794505049332,-0.4620801013173163,-0.06925829802935621,0.7247072236687734,-0.3620753394186656,-0.12366404787915464,-0.3347155445069387,-0.5489828093663776,-0.45841436269182706,-0.3452415383038864,0.0028335156858573314,0.33655409013787524
consumption_pc,0.9716890741757829,0.8231570517078829,0.9063582458810202,1.0,0.8893096667255663,0.5404198731842641,-0.007753693079977688,-0.19224975973804986,-0.0447813258939576,0.16485503573863136,-0.7415127556291449,-0.30916241976930964,-0.47917303493894886,-0.5820657414333531,0.0765814016918947,-0.6218452888460282,-0.6719736377725577,-0.4357641817808685,-0.8548392424929874,-0.8698012347091706,-0.5323260002970199,0.041769718056323665,0.8097736386805257,-0.40312675374355017,-0.1708997995887846,-0.31095236623205197,-0.583747197078358,-0.41539827143771313,-0.3987977987229859,0.09602396076105968,0.4684148711798328
hourly_comp,0.9153873698310124,0.7672632917586462,0.8347817677913684,0.8893096667255663,1.0,0.6338478876658582,-0.16053379770602696,-0.3021129529495589,-0.19656706299570909,0.1787942192069566,-0.8251755443465744,-0.1944576033133086,-0.38507221186094537,-0.5270570877701588,-0.1380501599411567,-0.45107374591616956,-0.555169097626927,-0.2649683887364086,-0.941929201298288,-0.9550720578190897,-0.48432959871458775,-0.0657865371290959,0.6654365282732299,-0.44503161926652335,-0.10652085108140565,-0.46093877965627694,-0.6316414593725244,-0.5193496522909088,-0.43235684092752014,0.051041734475320434,0.4622632942577876
saving_rate,0.5505082814011282,0.513589212305288,0.5316883827573285,0.5404198731842641,0.6338478876658582,1.0,-0.40144495661215623,-0.4763580723459706,-0.43914349971872363,0.5091393701426696,-0.6651421666346765,-0.28069278901572453,-0.14206579779164535,-0.5413375360741446,-0.3485165274177772,-0.14296249060688357,-0.23944271795442332,-0.1659816716156306,-0.6961721156559159,-0.7354972863943868,-0.7377029970001027,-0.41082072015611076,0.38803426335130164,-0.6861251729128232,-0.21640301047134375,-0.655954970132486,-0.6923647597834178,-0.6880818232841284,-0.6365570286209242,-0.3431357365373087,0.3213759628883992
unemployment_rate,-0.11915787457241703,-0.22293921871737335,-0.16883581138544634,-0.007753693079977688,-0.16053379770602696,-0.40144495661215623,1.0,0.896691115870502,0.9197047932080311,-0.668953632838934,0.20722901148602793,-0.3226027329442218,-0.6412898389759915,-0.4056862986236218,0.7179966564889306,-0.4366537190082767,-0.25037650969746267,-0.4945024146080432,0.14544181034930875,0.1432048248797325,0.21089514007388402,0.4986347898546909,-0.015843987540104163,0.36492629828759027,0.1556323920083495,0.6219916122689721,0.4431534328049032,0.44075215673045987,0.41491782314304854,0.5402413939895331,0.06239335541857317
ltu_rate,-0.28496426641904055,-0.31838277715158875,-0.3023343429312641,-0.19224975973804986,-0.3021129529495589,-0.4763580723459706,0.896691115870502,1.0,0.8533237599709875,-0.7594994189489506,0.4014239204447613,-0.22759836323329666,-0.5715488803225128,-0.3641016136111462,0.7970108045122226,-0.3226955865926541,-0.12049285056550725,-0.421177417433743,0.335352640402576,0.32091976153208873,0.3576441258793211,0.6105284191428516,-0.21826525900195803,0.363617043482954,0.1496339098012969,0.7273651225187242,0.5058599263724844,0.531262404451891,0.3927454391834216,0.5110818863145655,0.0588100639708493
youth_unemployment,-0.13875013121753368,-0.2206224877776949,-0.18338839920136998,-0.0447813258939576,-0.19656706299570909,-0.43914349971872363,0.9197047932080311,0.8533237599709875,1.0,-0.7951737041610496,0.2905025615824483,-0.3286767467087312,-0.502812643960496,-0.2706467398318962,0.6221058715518135,-0.3699487400400099,-0.20133461259841987,-0.44226986339036845,0.18234861880773306,0.19631174803353005,0.3026353823024328,0.39666604075472095,-0.07906708340125086,0.3833436067426257,0.19276947090098234,0.5481850127022962,0.42917267608485155,0.4126969708975301,0.45592074009386924,0.636241474777321,0.10515371263014042
employment_rate,0.19715276275433932,0.20229424475439178,0.21875539721115855,0.16485503573863136,0.1787942192069566,0.5091393701426696,-0.668953632838934,-0.7594994189489506,-0.7951737041610496,1.0,-0.4048933351933283,0.2464978617015856,0.3326084890115679,0.09239711214679375,-0.5512201792279096,0.27817746219539236,0.16034160145112886,0.27989361834902854,-0.1920609493666972,-0.267812394283411,-0.4960005525428947,-0.3866073853588349,0.3258608720862677,-0.4025492332980859,-0.4103689663064086,-0.5974834747233088,-0.49756608747888187,-0.38029824107761767,-0.4554318307975129,-0.6578632607549595,-0.12419513002039156
