,aic_pps_pc,gdp_pps_pc,real_gdp_pc,consumption_pc,hourly_comp,saving_rate,unemployment_rate,ltu_rate,youth_unemployment,employment_rate,working_hours,real_wages_idx,real_income_idx,arop_threshold_real,pct_below_peak,hicp,hicp_food,hicp_housing,wadj_a01,work_effort_squeeze,severe_mat_soc_deprivation,housing_cost_overburden,debt_to_income,s80s20,net_migration,arrears,unexpected_expenses,warm,arop,arop_before_transfers,transfer_effect,subjective_poverty,arope,gap_subj_arop,gap_subj_arope
aic_pps_pc,1.0,0.8658,0.842,0.8994,0.9026,0.4548,-0.2298,-0.3536,-0.2055,0.3401,-0.7188,-0.1226,-0.1268,-0.2535,-0.0663,0.145,0.1256,0.0902,-0.8049,-0.8037,-0.5225,-0.0728,0.6045,-0.3725,-0.1833,-0.416,-0.6092,-0.3937,-0.3505,-0.0723,0.2525,-0.5853,-0.4312,-0.5424,-0.5123
gdp_pps_pc,0.8658,1.0,0.9498,0.8008,0.7787,0.4539,-0.2729,-0.3479,-0.2486,0.2945,-0.545,-0.0388,-0.0592,-0.2148,-0.0925,0.0774,0.0439,0.0729,-0.6747,-0.6803,-0.4228,-0.1383,0.5319,-0.3315,-0.1362,-0.3387,-0.5,-0.3967,-0.3086,-0.1206,0.1712,-0.4982,-0.3507,-0.4589,-0.4441
real_gdp_pc,0.842,0.9498,1.0,0.9013,0.8106,0.4707,-0.1742,-0.2847,-0.1846,0.2283,-0.614,-0.1157,-0.2094,-0.3599,-0.0557,-0.0788,-0.1005,-0.0141,-0.7444,-0.7681,-0.4419,-0.0728,0.682,-0.3543,-0.1032,-0.3295,-0.5159,-0.4353,-0.3443,-0.0229,0.2913,-0.4985,-0.3621,-0.4495,-0.4388
consumption_pc,0.8994,0.8008,0.9013,1.0,0.8658,0.4606,-0.0461,-0.1995,-0.0688,0.1921,-0.7168,-0.2606,-0.3563,-0.4681,0.0393,-0.1078,-0.1071,-0.0476,-0.8306,-0.8569,-0.5144,0.0281,0.7711,-0.3953,-0.1449,-0.3095,-0.5502,-0.4005,-0.392,0.05,0.3999,-0.493,-0.4201,-0.4306,-0.4034
hourly_comp,0.9026,0.7787,0.8106,0.8658,1.0,0.5798,-0.2042,-0.3241,-0.2101,0.2554,-0.8161,-0.1092,-0.2039,-0.352,-0.1115,0.0243,0.011,0.0196,-0.9013,-0.926,-0.4781,-0.0846,0.5873,-0.4377,-0.1496,-0.4517,-0.609,-0.4788,-0.4227,-0.0199,0.3649,-0.5976,-0.4352,-0.5362,-0.5255
saving_rate,0.4548,0.4539,0.4707,0.4606,0.5798,1.0,-0.3561,-0.4251,-0.3707,0.4576,-0.5969,-0.1296,0.0068,-0.3165,-0.2309,-0.0565,-0.0649,-0.0732,-0.6108,-0.6511,-0.6451,-0.3796,0.3097,-0.5916,-0.2502,-0.5719,-0.6082,-0.5888,-0.5651,-0.3035,0.2375,-0.6226,-0.6696,-0.5246,-0.4416
unemployment_rate,-0.2298,-0.2729,-0.1742,-0.0461,-0.2042,-0.3561,1.0,0.9137,0.9189,-0.7078,0.2178,-0.3275,-0.6132,-0.3962,0.6508,-0.3195,-0.2531,-0.2373,0.1397,0.1392,0.2646,0.5019,0.0382,0.3677,0.2337,0.6015,0.4837,0.4278,0.3895,0.5192,0.1133,0.6185,0.4212,0.568,0.5583
ltu_rate,-0.3536,-0.3479,-0.2847,-0.1995,-0.3241,-0.4251,0.9137,1.0,0.8529,-0.7685,0.3812,-0.2566,-0.5688,-0.3708,0.6763,-0.268,-0.2115,-0.1942,0.2946,0.2874,0.3821,0.5921,-0.1273,0.3663,0.2442,0.6806,0.529,0.499,0.3701,0.5001,0.1137,0.7576,0.4577,0.7247,0.7126
youth_unemployment,-0.2055,-0.2486,-0.1846,-0.0688,-0.2101,-0.3707,0.9189,0.8529,1.0,-0.7786,0.2726,-0.3152,-0.4752,-0.2646,0.595,-0.2483,-0.1924,-0.1885,0.1655,0.1792,0.3254,0.4046,-0.0328,0.3782,0.2071,0.5366,0.4466,0.4026,0.4294,0.5717,0.1243,0.5995,0.469,0.5364,0.5112
employment_rate,0.3401,0.2945,0.2283,0.1921,0.2554,0.4576,-0.7078,-0.7685,-0.7786,1.0,-0.4094,0.2977,0.4468,0.2101,-0.5012,0.3407,0.2884,0.2207,-0.2072,-0.2714,-0.5148,-0.3922,0.2288,-0.396,-0.3883,-0.5945,-0.5411,-0.3731,-0.4331,-0.6352,-0.178,-0.6807,-0.5777,-0.6239,-0.5582
