,aic_pps_pc,gdp_pps_pc,real_gdp_pc,consumption_pc,hourly_comp,saving_rate,unemployment_rate,ltu_rate,youth_unemployment,employment_rate,working_hours,real_wages_idx,real_income_idx,arop_threshold_real,pct_below_peak,hicp,hicp_food,hicp_housing,wadj_a01,work_effort_squeeze,severe_mat_soc_deprivation,housing_cost_overburden,debt_to_income,s80s20,net_migration,arrears,unexpected_expenses,warm,arop,arop_before_transfers,transfer_effect,subjective_poverty,arope,gap_subj_arop,gap_subj_arope
aic_pps_pc,1.0,0.9294,0.5923,0.8308,0.9324,0.1172,-0.585,-0.5648,-0.4563,0.8414,-0.6262,0.4878,0.7237,0.5397,-0.2173,0.6023,0.5664,0.3292,-0.397,-0.4912,-0.4782,-0.3,-0.5527,-0.3754,-0.351,-0.4438,-0.5525,-0.179,-0.304,-0.4852,-0.353,-0.5927,-0.4971,-0.5773,-0.5485
gdp_pps_pc,0.9294,1.0,0.809,0.776,0.8855,0.1697,-0.5364,-0.523,-0.415,0.7913,-0.5856,0.4522,0.6631,0.4908,-0.1664,0.5462,0.5141,0.3069,-0.3184,-0.4097,-0.4337,-0.2458,-0.6458,-0.3591,-0.2935,-0.4056,-0.5404,-0.1615,-0.3439,-0.5144,-0.3628,-0.5573,-0.4795,-0.5331,-0.5101
real_gdp_pc,0.5923,0.809,1.0,0.5853,0.5449,0.1439,-0.4578,-0.4429,-0.3827,0.611,-0.2557,0.3425,0.4934,0.3382,-0.2089,0.4008,0.3553,0.2774,-0.1751,-0.2379,-0.3466,-0.195,-0.6518,-0.2907,-0.2093,-0.3693,-0.5096,-0.1786,-0.3934,-0.3954,-0.2105,-0.4504,-0.4249,-0.4115,-0.395
consumption_pc,0.8308,0.776,0.5853,1.0,0.6556,-0.1086,-0.638,-0.5803,-0.5299,0.8295,-0.356,0.4801,0.73,0.5314,-0.3953,0.5623,0.4918,0.3642,-0.3819,-0.4365,-0.5296,-0.3194,-0.4776,-0.3567,-0.3445,-0.518,-0.5925,-0.308,-0.2795,-0.5386,-0.4224,-0.6256,-0.5479,-0.6163,-0.5682
hourly_comp,0.9324,0.8855,0.5449,0.6556,1.0,0.3222,-0.4737,-0.4998,-0.3153,0.7387,-0.7218,0.5335,0.7062,0.5491,0.0037,0.5034,0.488,0.2476,-0.4395,-0.5578,-0.441,-0.2816,-0.4871,-0.3617,-0.3613,-0.3875,-0.5236,-0.1274,-0.311,-0.415,-0.2748,-0.5487,-0.4546,-0.5295,-0.5104
saving_rate,0.1172,0.1697,0.1439,-0.1086,0.3222,1.0,-0.1443,-0.2381,-0.0415,0.2201,-0.268,0.2684,0.4245,0.3363,0.1707,-0.0673,-0.05,-0.0951,-0.1666,-0.1705,-0.2671,-0.227,-0.1912,-0.1398,-0.3107,-0.1823,-0.3098,-0.1449,-0.2103,-0.2088,-0.1111,-0.3086,-0.2906,-0.291,-0.2696
unemployment_rate,-0.585,-0.5364,-0.4578,-0.638,-0.4737,-0.1443,1.0,0.9613,0.9249,-0.833,0.3184,-0.3627,-0.5436,-0.367,0.466,-0.4391,-0.4065,-0.2978,0.1403,0.1825,0.5076,0.5849,0.529,0.4505,0.3828,0.5702,0.6256,0.4086,0.3427,0.4567,0.3022,0.6969,0.5767,0.6812,0.6485
ltu_rate,-0.5648,-0.523,-0.4429,-0.5803,-0.4998,-0.2381,0.9613,1.0,0.8665,-0.8019,0.3588,-0.3845,-0.5603,-0.3906,0.362,-0.3766,-0.3638,-0.2303,0.1434,0.1944,0.5097,0.6021,0.4994,0.4591,0.4061,0.5616,0.6124,0.4164,0.3607,0.4706,0.3075,0.6886,0.5859,0.6695,0.6334
youth_unemployment,-0.4563,-0.415,-0.3827,-0.5299,-0.3153,-0.0415,0.9249,0.8665,1.0,-0.7183,0.1859,-0.2551,-0.3998,-0.247,0.517,-0.3605,-0.34,-0.2401,0.0701,0.0818,0.4452,0.4803,0.4317,0.3848,0.2712,0.501,0.5158,0.3651,0.3124,0.3515,0.2068,0.6008,0.5039,0.5845,0.556
employment_rate,0.8414,0.7913,0.611,0.8295,0.7387,0.2201,-0.833,-0.8019,-0.7183,1.0,-0.4953,0.5337,0.8189,0.5904,-0.3537,0.5988,0.553,0.365,-0.3517,-0.4303,-0.6202,-0.4607,-0.5599,-0.4106,-0.4242,-0.61,-0.7032,-0.3602,-0.3796,-0.5627,-0.395,-0.7451,-0.6668,-0.7262,-0.6703
