name,n_obs,pct,countries,min_year_reporters,years
arop_threshold_real,260,0.963,26,26,10
arrears,268,0.993,27,26,10
saving_rate,268,0.993,27,26,10
debt_to_income,268,0.993,27,26,10
real_income_idx,268,0.993,27,26,10
net_migration,269,0.996,27,26,10
housing_cost_overburden,269,0.996,27,26,10
aic_pps_pc,270,1.0,27,27,10
arop,270,1.0,27,27,10
warm,270,1.0,27,27,10
unexpected_expenses,270,1.0,27,27,10
s80s20,270,1.0,27,27,10
severe_mat_soc_deprivation,270,1.0,27,27,10
work_effort_squeeze,270,1.0,27,27,10
wadj_a01,270,1.0,27,27,10
hicp_housing,270,1.0,27,27,10
hicp,270,1.0,27,27,10
arop_before_transfers,270,1.0,27,27,10
pct_below_peak,270,1.0,27,27,10
real_wages_idx,270,1.0,27,27,10
working_hours,270,1.0,27,27,10
employment_rate,270,1.0,27,27,10
youth_unemployment,270,1.0,27,27,10
ltu_rate,270,1.0,27,27,10
unemployment_rate,270,1.0,27,27,10
hourly_comp,270,1.0,27,27,10
consumption_pc,270,1.0,27,27,10
real_gdp_pc,270,1.0,27,27,10
gdp_pps_pc,270,1.0,27,27,10
hicp_food,270,1.0,27,27,10
transfer_effect,270,1.0,27,27,10
