,aic_pps_pc,gdp_pps_pc,real_gdp_pc,consumption_pc,hourly_comp,saving_rate,unemployment_rate,ltu_rate,youth_unemployment,employment_rate,working_hours,real_wages_idx,real_income_idx,arop_threshold_real,pct_below_peak,hicp,hicp_food,hicp_housing,wadj_a01,work_effort_squeeze,severe_mat_soc_deprivation,housing_cost_overburden,debt_to_income,s80s20,net_migration,arrears,unexpected_expenses,warm,arop,arop_before_transfers,transfer_effect,subjective_poverty,arope,gap_subj_arop,gap_subj_arope
aic_pps_pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gdp_pps_pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real_gdp_pc,,,,,,,,,,,,,,,construction_overlap,,,,,,,,,,,,,,,,,,,,
consumption_pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hourly_comp,,,,,,,,,,,,,,,,,,,,construction_overlap,,,,,,,,,,,,,,,
saving_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unemployment_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ltu_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
youth_unemployment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employment_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
working_hours,,,,,,,,,,,,,,,,,,,,construction_overlap,,,,,,,,,,,,,,,
real_wages_idx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real_income_idx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arop_threshold_real,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pct_below_peak,,,construction_overlap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hicp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hicp_food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hicp_housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wadj_a01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
work_effort_squeeze,,,,,construction_overlap,,,,,,construction_overlap,,,,,,,,,,,,,,,,,,,,,,,,
severe_mat_soc_deprivation,,,,,,,,,,,,,,,,,,,,,,,,,,component_overlap,component_overlap,component_overlap,,,,,definitional_overlap,,
housing_cost_overburden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
debt_to_income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s80s20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net_migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arrears,,,,,,,,,,,,,,,,,,,,,component_overlap,,,,,,,,,,,,component_overlap,,
unexpected_expenses,,,,,,,,,,,,,,,,,,,,,component_overlap,,,,,,,,,,,,component_overlap,,
warm,,,,,,,,,,,,,,,,,,,,,component_overlap,,,,,,,,,,,,component_overlap,,
arop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,construction_overlap,,definitional_overlap,arithmetic_coupling,
arop_before_transfers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,construction_overlap,,,,
transfer_effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,construction_overlap,construction_overlap,,,,,
subjective_poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arithmetic_coupling,arithmetic_coupling
arope,,,,,,,,,,,,,,,,,,,,,definitional_overlap,,,,,component_overlap,component_overlap,component_overlap,definitional_overlap,,,,,,arithmetic_coupling
gap_subj_arop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arithmetic_coupling,,,arithmetic_coupling,,,
gap_subj_arope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arithmetic_coupling,arithmetic_coupling,,
