construct,name,var,adverse,proximity,violation,n,countries,coef,se,p_raw,ci_lo,ci_hi,std_effect,ci_abs_std_upper,r2_base,r2_full,greece_resid_base,greece_resid_full,greece_improves,p_fdr,fdr_rejected,boot_p,loo_sign_stable,loo_min,loo_max,outcome,notes,failed_gate
C1,Material resources,aic_pps_pc,lower_is_worse,objective,False,270,27,-0.0013369806985030314,0.00030061655021642485,8.68908041020803e-06,-0.0019261783100839008,-0.0007477830869221621,0.5903866311632877,0.8505656998515378,0.2514879275946781,0.4312283982918851,47.0157387878951,44.33408189720486,True,2.5979605624931528e-05,True,0.0055,True,-0.0016843379372288854,-0.0011874690054882765,supported,all six conditions hold,
C2,Labour-market exclusion,ltu_rate,higher_is_worse,objective,False,270,27,4.340207205114714,0.7801926203166292,2.6518435010956463e-08,2.811057768290188,5.86935664193924,0.807899553228287,1.0925401448972667,0.2514879275946781,0.6082511449972235,47.0157387878951,21.83878929974279,True,2.3866591509860815e-07,True,0.0085,True,3.1954898313739286,4.8288610849016615,supported,all six conditions hold,
C3,Loss against own past,real_wages_idx,lower_is_worse,objective,False,270,27,-0.09235403607058865,0.1825892136962188,0.6129954751679494,-0.4502223188806651,0.26551424673948776,0.1743138661687417,0.8497732896000393,0.2514879275946781,0.27189265220320036,47.0157387878951,49.349306029346224,False,0.6530577768945974,False,,False,,,inconclusive_under_available_power,"does not survive FDR within its declared family | interval still admits an effect of 0.7 SD (largest admitted 0.85 SD); power is the binding constraint, not evidence of absence",power
C3,Loss against own past,real_income_idx,lower_is_worse,objective,False,268,27,-0.21681125699611653,0.2087826279098294,0.29905851330328737,-0.6260176882970092,0.1923951743047762,0.31455722423377697,0.9082479806640308,0.24986623909529748,0.31195675529708733,47.20299661196957,48.24443360864715,False,0.41305791322661173,False,,False,,,inconclusive_under_available_power,"does not survive FDR within its declared family | interval still admits an effect of 0.7 SD (largest admitted 0.91 SD); power is the binding constraint, not evidence of absence",power
C3,Loss against own past,arop_threshold_real,lower_is_worse,objective,False,260,26,-0.05559295423141858,0.12367227001478734,0.6530577768945974,-0.29798614934671463,0.18680024088387745,0.1380497565410695,0.739966348949235,0.2367736390065479,0.24869584929138033,47.69643065428173,53.04592066147311,False,0.6530577768945974,False,,False,,,inconclusive_under_available_power,"does not survive FDR within its declared family | interval still admits an effect of 0.7 SD (largest admitted 0.74 SD); power is the binding constraint, not evidence of absence",power
C3,Loss against own past,pct_below_peak,higher_is_worse,objective,False,270,27,1.8674728659015756,0.4257823821927351,1.1546491388858458e-05,1.0329547315521463,2.701991000251005,0.620120123003506,0.8972333799458425,0.2514879275946781,0.5091476817535634,47.0157387878951,40.24658350416925,True,2.5979605624931528e-05,True,0.4005,True,0.3616834352669884,2.0092080431388077,inconclusive_under_available_power,wild-cluster bootstrap p=0.4005 does not support | cleared FDR but failed a robustness gate,bootstrap
C4,Wage-adjusted affordability,wadj_a01,higher_is_worse,objective,False,270,27,0.31103729532647134,0.0695673659448895,7.784631375867675e-06,0.17468776357516963,0.44738682707777305,0.6870863469510302,0.9882846375970211,0.2514879275946781,0.5356992553687796,47.0157387878951,38.843666000247495,True,2.5979605624931528e-05,True,0.0005,True,0.24838953553335846,0.3349516891088235,supported,all six conditions hold,
C5,Inflation exposure,hicp,higher_is_worse,objective,False,270,27,-0.9925466673539652,1.0006952844119978,0.3212672658429202,-2.953873384300547,0.9687800495926168,0.27449688575944153,0.8169178050638114,0.2514879275946781,0.26452825258331314,47.0157387878951,46.66758205523671,True,0.41305791322661173,False,,False,,,inconclusive_under_available_power,"coefficient -0.9925 contradicts pre-registered direction (higher_is_worse) | does not survive FDR within its declared family | interval still admits an effect of 0.7 SD (largest admitted 0.82 SD); power is the binding constraint, not evidence of absence",power
C6,Housing pressure,housing_cost_overburden,higher_is_worse,objective,False,269,27,1.13852571733739,0.4305423746731688,0.008183618608460118,0.2946781691596292,1.9823732655151507,0.5448768297989391,0.9487262728839838,0.25104646381204054,0.46085658776147276,47.02184759608285,49.6319100948561,False,0.014730513495228212,True,0.553,False,-0.09646902858154213,1.2737109395507937,inconclusive_under_available_power,wild-cluster bootstrap p=0.5530 does not support | cleared FDR but failed a robustness gate,bootstrap
P1,Proximate material hardship,severe_mat_soc_deprivation,higher_is_worse,proximate_same_instrument,True,270,27,1.4523518749669175,0.49521788796174204,0.003359707813846326,0.4817426500619115,2.4229610998719235,0.7202430379242771,1.2015826835241654,0.2514879275946781,0.5036212013139527,47.0157387878951,39.952799501229364,True,,False,,False,,,blocked_by_proximity,proximity or construction-overlap rule violated,proximity
