construct,var,p_raw,p_fdr,p_fdr_pooled,fdr_rejected,pooled_rejected
C1,gdp_pps_pc,0.01090814056391524,0.01090814056391524,0.02181628112783048,True,True
C1,real_gdp_pc,0.001900132426993219,0.0023751655337415235,0.006333774756644063,True,True
C1,consumption_pc,1.0225740996440603e-06,5.1128704982203015e-06,1.0225740996440603e-05,True,True
C1,hourly_comp,0.00033523971277135093,0.0005587328546189182,0.0016761985638567545,True,True
C2,unemployment_rate,0.04187561281539287,0.04187561281539287,0.05982230402198981,True,False
C2,youth_unemployment,0.04065633751720687,0.04187561281539287,0.05982230402198981,True,False
C2,employment_rate,0.005097450085710319,0.010194900171420638,0.012743625214275797,True,True
C3,c3_composite,0.2181623578109081,0.5454058945272702,0.24240261978989786,False,False
C5,hicp_food,0.6994418874476218,0.6994418874476218,0.6994418874476218,False,False
C5,hicp_housing,0.17635967418955445,0.4819008987643803,0.22044959273694306,False,False
