construct,var,role,adverse,coef,se,p_raw,p_fdr,boot_p,loo_sign_stable,std_effect,ci_abs_std_upper,greece_improves,violation,n,outcome,notes,primary_state,disposition
C1,aic_pps_pc,primary,lower_is_worse,-0.0013369806985030314,0.00030061655021642485,8.68908041020803e-06,2.1722701025520077e-05,0.007,True,0.5903866311632877,0.8505656998515378,True,False,270,supported,all six conditions hold,supported,—
C1,gdp_pps_pc,sensitivity,lower_is_worse,-0.0003879541094484187,0.00015240016599598878,0.01090814056391524,0.01090814056391524,0.0865,True,0.4327944601952369,0.766017381655565,True,False,270,inconclusive_under_available_power,wild-cluster bootstrap p=0.0865 does not support | cleared FDR but failed a robustness gate,supported,qualifies_primary
C1,real_gdp_pc,sensitivity,lower_is_worse,-0.0002777431948188211,8.943839602643903e-05,0.001900132426993219,0.0023751655337415235,0.036,True,0.4435129360732035,0.7234335988866909,True,False,270,supported,all six conditions hold,supported,confirms_primary
C1,consumption_pc,sensitivity,lower_is_worse,-0.0009282340977082472,0.00018992997418194958,1.0225740996440603e-06,5.1128704982203015e-06,0.0025,True,0.4262362718609084,0.597172645792983,False,False,270,inconclusive_under_available_power,Greece's equal-sample absolute residual does not improve | cleared FDR but failed a robustness gate,supported,qualifies_primary
C1,hourly_comp,sensitivity,lower_is_worse,-0.8501354981164295,0.23704245810789276,0.00033523971277135093,0.0005587328546189182,0.0015,True,0.5525774660604544,0.8545582114525038,True,False,270,supported,all six conditions hold,supported,confirms_primary
C2,ltu_rate,primary,higher_is_worse,4.340207205114714,0.7801926203166292,2.6518435010956463e-08,1.0607374004382585e-07,0.01,True,0.807899553228287,1.0925401448972667,True,False,270,supported,all six conditions hold,supported,—
C2,unemployment_rate,sensitivity,higher_is_worse,2.1265249841846825,1.0451016624466098,0.04187561281539287,0.04187561281539287,0.1865,True,0.5872318799552464,1.1528792403445174,True,False,270,inconclusive_under_available_power,wild-cluster bootstrap p=0.1865 does not support | cleared FDR but failed a robustness gate,supported,qualifies_primary
C2,youth_unemployment,sensitivity,higher_is_worse,0.8750599350146832,0.42748037551388,0.04065633751720687,0.04187561281539287,0.0775,True,0.5573516828041083,1.0910007934910653,True,False,270,inconclusive_under_available_power,wild-cluster bootstrap p=0.0775 does not support | cleared FDR but failed a robustness gate,supported,qualifies_primary
C2,employment_rate,sensitivity,lower_is_worse,-1.5958728388214083,0.5697897265279129,0.005097450085710319,0.010194900171420638,0.02,True,0.708966335234277,1.2050901059023162,True,False,270,supported,all six conditions hold,supported,confirms_primary
C3,real_wages_idx,primary,lower_is_worse,-0.1278933251343847,0.22294793156249537,0.5662069640707061,0.6125980441511252,,False,0.2110693852245043,0.9322248598832609,False,False,258,inconclusive_under_available_power,"does not survive FDR within its declared family | interval still admits an effect of 0.7 SD (largest admitted 0.93 SD); power is the binding constraint, not evidence of absence",inconclusive_under_available_power,—
C3,real_income_idx,primary,lower_is_worse,-0.20922779369393973,0.21424801199076043,0.3287829727380891,0.5479716212301485,,False,0.3046845314834137,0.9161837726937081,False,False,258,inconclusive_under_available_power,"does not survive FDR within its declared family | interval still admits an effect of 0.7 SD (largest admitted 0.92 SD); power is the binding constraint, not evidence of absence",inconclusive_under_available_power,—
C3,arop_threshold_real,primary,lower_is_worse,-0.06446620570772896,0.1273108747881699,0.6125980441511252,0.6125980441511252,,False,0.1545722290277589,0.752863895201656,False,False,258,inconclusive_under_available_power,"does not survive FDR within its declared family | interval still admits an effect of 0.7 SD (largest admitted 0.75 SD); power is the binding constraint, not evidence of absence",inconclusive_under_available_power,—
C3,pct_below_peak,primary,higher_is_worse,1.9043733145456656,0.4315811981711126,1.0216052107008427e-05,5.108026053504214e-05,0.414,True,0.6379717485418589,0.9213457269042202,True,False,258,inconclusive_under_available_power,wild-cluster bootstrap p=0.4140 does not support | cleared FDR but failed a robustness gate,inconclusive_under_available_power,—
C3,c3_composite,sensitivity,higher_is_worse,7.232130031091838,5.872956122591836,0.2181623578109081,0.5454058945272702,,False,0.4147727894618758,1.0749322914154884,False,False,258,inconclusive_under_available_power,"does not survive FDR within its declared family | interval still admits an effect of 0.7 SD (largest admitted 1.07 SD); power is the binding constraint, not evidence of absence",inconclusive_under_available_power,cannot_promote
C5,hicp,primary,higher_is_worse,-0.9925466673539652,1.0006952844119978,0.3212672658429202,0.4819008987643803,,False,0.27449688575944153,0.8169178050638114,True,False,270,inconclusive_under_available_power,"coefficient -0.9925 contradicts pre-registered direction (higher_is_worse) | does not survive FDR within its declared family | interval still admits an effect of 0.7 SD (largest admitted 0.82 SD); power is the binding constraint, not evidence of absence",inconclusive_under_available_power,—
C5,hicp_food,sensitivity,higher_is_worse,-0.22000869915524784,0.569861520085152,0.6994418874476218,0.6994418874476218,,False,0.08798825941078771,0.5346742136770499,False,False,270,unsupported_with_adequate_power,coefficient -0.2200 contradicts pre-registered direction (higher_is_worse) | does not survive FDR within its declared family | interval excludes effects of 0.7 SD (largest admitted 0.53 SD),inconclusive_under_available_power,cannot_promote
C5,hicp_housing,sensitivity,higher_is_worse,-0.28033465822565407,0.20734062150611907,0.17635967418955445,0.4819008987643803,,False,0.1706206772626717,0.41795668977962175,True,False,270,unsupported_with_adequate_power,coefficient -0.2803 contradicts pre-registered direction (higher_is_worse) | does not survive FDR within its declared family | interval excludes effects of 0.7 SD (largest admitted 0.42 SD),inconclusive_under_available_power,cannot_promote
P1,severe_mat_soc_deprivation,primary,higher_is_worse,1.4462622285999627,0.49691647619081325,0.0036088158490778974,,,False,0.7176266805503461,1.2008890964755592,True,True,268,blocked_by_proximity,proximity or construction-overlap rule violated,inconclusive_under_available_power,—
P1,arrears,sensitivity,higher_is_worse,1.4549116186248845,0.08173216987599925,6.945971651714184e-71,,,False,0.9575717249228678,1.063004544684241,True,True,268,blocked_by_proximity,proximity or construction-overlap rule violated,inconclusive_under_available_power,blocked_by_proximity
P1,unexpected_expenses,sensitivity,higher_is_worse,0.9824883136378678,0.22242178553506473,9.997356331122364e-06,,,False,0.8443884676633384,1.2190510427923011,True,True,268,blocked_by_proximity,proximity or construction-overlap rule violated,inconclusive_under_available_power,blocked_by_proximity
P1,warm,sensitivity,higher_is_worse,1.2334730029072412,0.36948759427810696,0.0008428236940179321,,,False,0.7384998083115352,1.1720792589522677,True,True,268,blocked_by_proximity,proximity or construction-overlap rule violated,inconclusive_under_available_power,blocked_by_proximity
