geo,time,subjective_poverty,arop,unemployment_rate,real_gdp_pc,severe_mat_soc_deprivation,aic_pps_pc,gdp_pps_pc,housing_cost_overburden,arrears,unexpected_expenses,real_gdp_pc_k,aic_pps_pc_k,gdp_pps_pc_k,debt_to_income,arop_before_transfers,transfer_effect,pct_below_peak,ltu_rate,cum_gdp_shortfall_2008base,cum_gdp_shortfall_ownpeak,cum_wage_shortfall_2008base,cum_wage_shortfall_ownpeak,cum_excess_unemployment,cum_excess_ltu,cum_threshold_shortfall,gdp_years_below_2008,gdp_years_below_peak,gdp_longest_streak_2008,gdp_longest_streak_peak,gdp_cum_negative_years,wage_years_below_2008,wage_years_below_peak,wage_longest_streak_2008,wage_longest_streak_peak,wage_cum_negative_years,slope5_real_wage,slope5_real_gdp,slope5_unemployment,years_worst_quintile_unemp,years_worst_quintile_wage,share_worst_unemployment,share_worst_ltu,share_worst_real_wage,share_worst_real_gdp,share_worst_threshold,share_worst_composite,consumption_pc,hourly_comp,saving_rate,youth_unemployment,employment_rate,working_hours,real_wages_idx,real_income_idx,arop_threshold_real,hicp,hicp_food,hicp_housing,wadj_a01,work_effort_squeeze,s80s20,net_migration,warm,arope,gap_subj_arop,gap_subj_arope,acc_cum_excess_unemployment,acc_real_wages_shortfall,dur_real_wages_below,acc_pct_below_peak,acc_threshold_shortfall,acc_threshold_shortfall_mixed,acc_wadj_excess,acc_hicp_compounded,acc_housing_excess
AT,2015,13.4,13.9,6.1,43200.0,2.9,23093.3,35700.0,6.4,6.4,22.6,43.2,23.0933,35.7,85.46,44.4,30.5,0.5753739930955121,2.0,7.1643170788074855,8.402720839495515,4.514876983026824,8.999133090535878,0.6999999999999993,1.6000000000000003,0.0,3.0,3.0,3.0,3.0,3.0,0.0,6.0,4.0,6.0,3.0,0.3181706320928793,-72.0000000000042,0.3200000000000242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0434782608695652,18620.0,26.0,13.02,11.3,74.3,35.5,100.23,95.92,105.78,0.8,0.8,1.2,89.84,82.15,4.05,0.66,2.6,16.9,-0.5,-3.4999999999999982,0.6999999999999993,4.514876983026824,0,8.402720839495515,0.0,0.0,0.0,16.918040453642025,1.2999999999999998
AT,2016,12.8,14.1,6.5,43550.0,3.3,23408.9,36400.0,7.2,6.5,22.6,43.55,23.408900000000003,36.4,84.86,44.8,30.699999999999996,0.0,2.4,7.1643170788074855,8.402720839495515,4.514876983026824,8.999133090535878,1.4999999999999991,2.6000000000000005,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,4.0,6.0,3.0,0.6998329233784575,32.00000000004517,0.3000000000000629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1304347826086956,18710.0,26.2,13.74,12.0,74.8,35.5,101.59,97.21,106.73,1.0,0.7,1.0,89.99,81.81,4.09,0.63,2.7,17.2,-1.299999999999999,-4.399999999999999,1.4999999999999991,4.514876983026824,0,8.402720839495515,0.0,0.0,0.0,18.052145446042367,2.0
AT,2017,11.5,14.4,5.9,44260.0,3.4,23882.3,37000.0,7.1,5.9,20.6,44.26,23.8823,37.0,84.04,43.4,29.0,0.0,2.3,7.1643170788074855,8.402720839495515,4.514876983026824,9.640151729814349,1.6999999999999993,3.5000000000000004,0.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0,4.0,6.0,4.0,0.6804193347956909,283.99999999994213,0.0900000000000047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0434782608695652,18950.0,26.6,12.82,10.5,75.4,35.3,100.95,97.45,109.06,2.2,2.3,1.6,91.52,82.72,4.29,0.61,2.4,17.1,-2.9000000000000004,-5.600000000000001,1.6999999999999993,4.514876983026824,0,8.402720839495515,0.0,0.0,0.0,20.682801356249335,2.5999999999999996
AT,2018,11.3,14.3,5.2,45140.0,2.8,24516.7,38400.0,6.8,4.9,20.1,45.14,24.5167,38.4,83.34,43.3,28.999999999999996,0.0,1.7,7.1643170788074855,8.402720839495515,4.514876983026824,9.640151729814349,1.6999999999999993,3.8000000000000007,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,4.0,6.0,4.0,0.5828068149951809,519.9999999998643,-0.1799999999999224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,19010.0,27.3,13.41,10.0,76.2,35.5,101.65,98.36,108.62,2.1,1.5,2.5,91.78,83.17,4.04,0.54,1.6,16.8,-3.0,-5.5,1.6999999999999993,4.514876983026824,0,8.402720839495515,0.0,0.0,0.0,23.243306442184085,2.8999999999999995
AT,2019,10.7,13.3,4.8,45730.0,2.7,24965.0,39300.0,7.0,4.3,18.5,45.73,24.965,39.3,84.15,44.9,31.6,0.0,1.4,7.1643170788074855,8.402720839495515,4.514876983026824,9.640151729814349,1.6999999999999993,3.8000000000000007,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,4.0,6.0,4.0,0.5471706152570878,664.9999999999828,-0.3899999999999858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0434782608695652,19060.0,27.7,13.04,9.1,76.8,35.6,102.94,98.22,109.38,1.5,1.1,2.7,92.27,84.52,4.17,0.52,1.8,16.5,-2.6000000000000014,-5.800000000000001,1.6999999999999993,4.514876983026824,0,8.402720839495515,0.0,0.0,0.0,25.078919677306267,3.3999999999999995
AT,2020,9.4,13.9,6.0,42650.0,3.0,23604.3,37400.0,6.3,5.3,17.6,42.65,23.6043,37.4,86.08,42.4,28.5,6.735184780231795,1.7,8.597180494568988,15.137905619727306,4.514876983026824,9.640151729814349,1.9999999999999991,4.1000000000000005,0.0,1.0,1.0,3.0,3.0,4.0,0.0,0.0,4.0,6.0,4.0,0.5368117159945064,-33.0000000000513,-0.2099999999999646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1304347826086956,17540.0,30.4,19.15,11.7,74.8,34.0,103.28,97.31,111.34,1.4,2.3,2.1,91.15,78.47,4.11,0.3,1.5,16.7,-4.5,-7.299999999999999,1.9999999999999991,4.514876983026824,0,15.137905619727306,0.0,0.0,0.0,26.820998480065516,3.3999999999999995
AT,2021,10.1,14.7,6.2,44580.0,1.8,25686.7,40200.0,6.1,4.8,18.6,44.58,25.6867,40.2,86.14,44.9,30.2,2.514760551060573,2.0,8.597180494568988,17.65266617078788,4.514876983026824,9.640151729814349,2.499999999999999,4.700000000000001,0.0,0.0,2.0,3.0,3.0,4.0,0.0,0.0,4.0,6.0,4.0,0.6679013655536432,-185.0000000000725,0.1400000000000707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,18330.0,30.5,17.25,11.0,75.6,33.7,103.47,99.34,111.92,2.8,0.7,3.2,89.81,77.71,4.0,0.37,1.7,17.3,-4.6,-7.200000000000001,2.499999999999999,4.514876983026824,0,17.65266617078788,0.0,0.0,0.0,30.316847889629408,3.3999999999999995
AT,2022,11.9,14.8,4.8,46430.0,2.3,28670.4,44600.0,7.4,4.7,19.0,46.43,28.6704,44.6,80.14,43.6,28.8,0.0,1.2,8.597180494568988,17.65266617078788,4.686175330456024,13.285050620743236,2.499999999999999,4.700000000000001,0.0,0.0,0.0,3.0,3.0,4.0,1.0,1.0,4.0,6.0,5.0,-0.3103540118774667,143.00000000007768,0.0600000000000252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,19100.0,32.4,15.24,9.5,77.3,33.7,99.83,100.85,104.59,8.6,10.7,14.5,88.76,76.01,4.25,0.74,2.7,17.5,-2.9000000000000004,-5.6,2.499999999999999,4.686175330456024,1,17.65266617078788,0.0,0.0,0.0,41.5526715772244,4.3
AT,2023,13.6,14.9,5.1,45670.0,3.7,30138.3,46400.0,6.0,6.9,22.8,45.67,30.1383,46.4,73.51,42.3,27.4,1.6368727116088737,1.1,8.597180494568988,19.289538882396755,5.678728171128526,17.751204004915422,2.499999999999999,4.700000000000001,0.0,0.0,1.0,3.0,3.0,5.0,2.0,2.0,4.0,6.0,6.0,-1.1323507956769596,365.99999999988734,-0.0599999999999648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,18890.0,34.2,14.75,10.4,77.2,33.6,99.01,99.22,109.66,7.7,11.0,11.9,90.51,76.75,4.28,0.59,3.9,17.7,-1.3000000000000007,-4.1,2.499999999999999,5.678728171128526,2,19.289538882396755,0.0,0.0,0.0,52.46112475154921,4.3
AT,2024,13.1,14.3,5.2,45140.0,3.7,31379.6,47500.0,6.3,7.5,20.9,45.14,31.3796,47.5,67.89,42.5,28.2,2.7783760499676933,1.1,8.597180494568988,22.067914932364445,5.678728171128526,18.05918643587681,2.499999999999999,4.700000000000001,0.0,0.0,2.0,3.0,3.0,6.0,0.0,3.0,4.0,6.0,6.0,-0.4698328461163655,607.0000000000015,-0.2699999999999843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,18980.0,36.5,17.34,10.3,77.4,33.9,103.17,102.75,112.54,2.9,2.7,0.6,89.3,76.37,4.34,0.61,4.0,16.9,-1.200000000000001,-3.799999999999999,2.499999999999999,5.678728171128526,0,22.067914932364445,0.0,0.0,0.0,56.915702092832966,4.3
BE,2015,20.5,14.9,8.7,40310.0,7.2,22339.7,33100.0,9.4,6.9,25.7,40.31,22.3397,33.1,98.97,43.3,28.4,0.0,4.0,5.702084903290626,5.702084903290626,0.0,3.420986096700261,2.3999999999999986,2.2999999999999994,0.0,0.0,0.0,5.0,5.0,3.0,0.0,1.0,0.0,3.0,3.0,0.5490826719482477,173.0000000000155,0.4100000000000297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,17900.0,34.1,11.59,22.5,67.2,37.1,102.02,98.24,108.37,0.6,1.2,-1.2,71.89,65.46,3.83,1.08,5.2,21.6,5.6,-1.1000000000000014,2.3999999999999986,0.0,0,5.702084903290626,0.0,0.0,0.0,16.103564379426437,6.499999999999998
