pair,construct,focal,controlling_for,direction,n,countries,partial_corr,residual_sd,between_sd,within_sd,conditional_mde_sd,power_at_mde,mc_se_at_mde,power_before_mde,mc_se_before_mde,boundary_fragile,fragile_at_selected,fragile_at_preceding,marginal_mde_sd,inflation,reps
P1_ltu,C2,acc_cum_excess_unemployment,ltu_rate,accumulated|current,270,27,0.71665451312706,13.273438334057213,12.86981384997702,4.011689342938177,0.6,0.83991995997999,0.008201270683498563,0.7358679339669835,0.009860617361527045,False,False,False,0.5,1.2,1999
P1_ltu,C2,ltu_rate,acc_cum_excess_unemployment,current|accumulated,270,27,0.71665451312706,13.273438334057213,12.86981384997702,4.011689342938177,0.6,0.8029014507253627,0.008897468069246272,0.6858429214607303,0.010381960162699546,True,True,False,0.5,1.2,1999
P2_wage_area,C3,acc_real_wages_shortfall,real_wages_idx,accumulated|current,270,27,-0.5318477271167276,13.273438334057213,12.86981384997702,4.011689342938177,0.6,0.8714357178589295,0.007486372729007666,0.7908954477238619,0.009095673965639466,True,False,True,0.5,1.2,1999
P2_wage_area,C3,real_wages_idx,acc_real_wages_shortfall,current|accumulated,270,27,-0.5318477271167276,13.273438334057213,12.86981384997702,4.011689342938177,0.5,0.8289144572286143,0.008422773383437155,0.6703351675837919,0.010514192287657273,False,False,False,0.5,1.0,1999
P3_wage_duration,C3,dur_real_wages_below,real_wages_idx,accumulated|current,270,27,-0.57581666868536,13.273438334057213,12.86981384997702,4.011689342938177,0.5,0.8019009504752376,0.00891446251167226,0.662831415707854,0.010573498213056962,True,True,False,0.5,1.0,1999
P3_wage_duration,C3,real_wages_idx,dur_real_wages_below,current|accumulated,270,27,-0.57581666868536,13.273438334057213,12.86981384997702,4.011689342938177,0.5,0.8514257128564282,0.007954974857544662,0.7413706853426714,0.009793776348078542,False,False,False,0.5,1.0,1999
P4_gdp,C3,acc_pct_below_peak,pct_below_peak,accumulated|current,270,27,0.7602663599545874,13.273438334057213,12.86981384997702,4.011689342938177,0.6,0.8784392196098049,0.007308802078622267,0.7773886943471736,0.009304356057514548,False,False,False,0.5,1.2,1999
P4_gdp,C3,pct_below_peak,acc_pct_below_peak,current|accumulated,270,27,0.7602663599545874,13.273438334057213,12.86981384997702,4.011689342938177,0.4,0.8304152076038019,0.0083933377956415,0.6533266633316658,0.010644346772578224,False,False,False,0.4,1.0,1999
P5_threshold,C3,acc_threshold_shortfall,arop_threshold_real,accumulated|current,260,26,-0.5410879788056862,13.33000848990337,13.013569519455908,3.7710724859721103,0.5,0.8859429714857429,0.007109802108595515,0.7693846923461731,0.009421269761913317,False,False,False,0.4,1.25,1999
P5_threshold,C3,arop_threshold_real,acc_threshold_shortfall,current|accumulated,260,26,-0.5410879788056862,13.33000848990337,13.013569519455908,3.7710724859721103,0.6,0.8599299649824912,0.007762431179905089,0.7613806903451726,0.00953338922484531,False,False,False,0.5,1.2,1999
P6_wadj,C4,acc_wadj_excess,wadj_a01,accumulated|current,270,27,0.793343106940417,13.273438334057213,12.86981384997702,4.011689342938177,0.8,0.8304152076038019,0.0083933377956415,0.7498749374687343,0.009686494303846323,False,False,False,0.6,1.3333333333333335,1999
P6_wadj,C4,wadj_a01,acc_wadj_excess,current|accumulated,270,27,0.793343106940417,13.273438334057213,12.86981384997702,4.011689342938177,0.8,0.8309154577288644,0.008383473100610652,0.759879939969985,0.009553891710921287,False,False,False,0.6,1.3333333333333335,1999
P7_hicp,C5,acc_hicp_compounded,hicp,accumulated|current,270,27,0.6653842006324989,13.273438334057213,12.86981384997702,4.011689342938177,0.8,0.855927963981991,0.007854201835390581,0.7738869434717359,0.009356107067984464,False,False,False,0.7,1.142857142857143,1999
P7_hicp,C5,hicp,acc_hicp_compounded,current|accumulated,270,27,0.6653842006324989,13.273438334057213,12.86981384997702,4.011689342938177,0.5,0.8654327163581791,0.007632731765537398,0.7293646823411706,0.009937066664474687,False,False,False,0.7,0.7142857142857143,1999
P8_housing,C6,acc_housing_excess,housing_cost_overburden,accumulated|current,269,27,0.7606777653393741,13.29793052674207,12.869733069812316,4.018600961266639,0.6,0.8144072036018009,0.008695508098564108,0.6993496748374187,0.010255849296548018,True,True,False,0.4,1.4999999999999998,1999
P8_housing,C6,housing_cost_overburden,acc_housing_excess,current|accumulated,269,27,0.7606777653393741,13.29793052674207,12.869733069812316,4.018600961266639,0.6,0.8059029514757379,0.00884594921690093,0.6913456728364182,0.010331833822630832,True,True,False,0.5,1.2,1999
