construct,variable,time,gr_value,gr_rank,n_countries,eu_median
--,subjective_poverty,2015,77.7,1,27,28.9
--,subjective_poverty,2016,76.80000000000001,1,27,25.9
--,subjective_poverty,2017,77.19999999999999,1,27,22.6
--,subjective_poverty,2018,74.1,1,27,20.5
--,subjective_poverty,2019,71.0,1,27,18.5
--,subjective_poverty,2020,69.80000000000001,1,27,16.8
--,subjective_poverty,2021,71.0,1,27,15.4
--,subjective_poverty,2022,68.4,1,27,17.9
--,subjective_poverty,2023,67.0,1,27,16.6
--,subjective_poverty,2024,66.7,1,27,17.1
--,arop,2015,21.4,7,27,16.3
--,arop,2016,21.2,7,27,16.5
--,arop,2017,20.2,8,27,15.9
--,arop,2018,18.5,9,27,16.4
--,arop,2019,17.9,9,27,15.4
--,arop,2020,17.7,9,27,16.1
--,arop,2021,19.6,8,27,15.7
--,arop,2022,18.8,8,27,15.6
--,arop,2023,18.9,8,27,15.4
--,arop,2024,19.6,7,27,15.5
--,arope,2015,32.4,3,27,22.5
--,arope,2016,32.6,3,27,22.2
--,arope,2017,32.2,3,27,21.4
--,arope,2018,30.3,3,27,20.1
--,arope,2019,29.0,3,27,20.1
--,arope,2020,27.4,3,27,19.9
--,arope,2021,28.3,3,27,19.6
--,arope,2022,26.3,3,27,19.6
--,arope,2023,26.1,4,27,19.8
--,arope,2024,26.9,3,27,19.6
--,gap_subj_arop,2015,56.3,1,27,13.1
--,gap_subj_arop,2016,55.60000000000001,1,27,10.599999999999998
--,gap_subj_arop,2017,56.999999999999986,1,27,7.100000000000001
--,gap_subj_arop,2018,55.599999999999994,1,27,5.600000000000001
--,gap_subj_arop,2019,53.1,1,27,2.799999999999997
--,gap_subj_arop,2020,52.10000000000001,1,27,2.5999999999999996
--,gap_subj_arop,2021,51.4,1,27,-0.0999999999999978
--,gap_subj_arop,2022,49.60000000000001,1,27,2.1000000000000014
--,gap_subj_arop,2023,48.1,1,27,1.8000000000000007
--,gap_subj_arop,2024,47.1,1,27,1.200000000000001
--,gap_subj_arope,2015,45.3,1,27,6.399999999999999
--,gap_subj_arope,2016,44.20000000000001,1,27,3.599999999999998
--,gap_subj_arope,2017,44.999999999999986,1,27,0.3000000000000007
--,gap_subj_arope,2018,43.8,1,27,0.0999999999999978
--,gap_subj_arope,2019,42.0,1,27,-2.0
--,gap_subj_arope,2020,42.40000000000001,1,27,-1.0999999999999996
--,gap_subj_arope,2021,42.7,1,27,-4.200000000000001
--,gap_subj_arope,2022,42.10000000000001,1,27,-1.900000000000002
--,gap_subj_arope,2023,40.9,1,27,-3.1999999999999993
--,gap_subj_arope,2024,39.8,1,27,-2.3000000000000007
C1,aic_pps_pc,2015,14769.7,16,27,16230.4
C1,aic_pps_pc,2016,14785.5,19,27,16494.2
C1,aic_pps_pc,2017,15372.2,19,27,17037.5
C1,aic_pps_pc,2018,15833.2,19,27,18006.3
C1,aic_pps_pc,2019,16372.1,19,27,18707.2
C1,aic_pps_pc,2020,15474.7,21,27,17386.0
C1,aic_pps_pc,2021,16771.9,21,27,19479.0
C1,aic_pps_pc,2022,19402.0,19,27,21316.9
C1,aic_pps_pc,2023,20701.1,18,27,23054.8
C1,aic_pps_pc,2024,21309.9,22,27,24129.1
C2,ltu_rate,2015,16.4,1,27,3.6
C2,ltu_rate,2016,15.4,1,27,3.1
C2,ltu_rate,2017,14.3,1,27,2.7
C2,ltu_rate,2018,12.5,1,27,2.1
C2,ltu_rate,2019,11.3,1,27,1.9
C2,ltu_rate,2020,10.5,1,27,1.8
C2,ltu_rate,2021,9.2,1,27,2.0
C2,ltu_rate,2022,7.7,1,27,1.9
C2,ltu_rate,2023,6.2,1,27,1.7
C2,ltu_rate,2024,5.4,1,27,1.7
C3,real_wages_idx,2015,76.91,26,27,101.43
C3,real_wages_idx,2016,74.07,26,27,102.07
C3,real_wages_idx,2017,73.99,27,27,105.04
C3,real_wages_idx,2018,70.9,27,27,107.27
C3,real_wages_idx,2019,70.4,27,27,106.49
C3,real_wages_idx,2020,70.97,27,27,108.14
C3,real_wages_idx,2021,71.71,27,27,110.41
C3,real_wages_idx,2022,66.92,27,27,105.8
C3,real_wages_idx,2023,66.39,27,27,108.81
C3,real_wages_idx,2024,68.18,27,27,111.85
C3,real_income_idx,2015,67.79,27,27,102.25
C3,real_income_idx,2016,67.88,27,27,102.77
C3,real_income_idx,2017,68.39,27,27,105.02
C3,real_income_idx,2018,68.3,27,27,106.43
C3,real_income_idx,2019,73.3,27,27,110.82
C3,real_income_idx,2020,71.04,27,27,113.22
C3,real_income_idx,2021,78.03,27,27,119.64
C3,real_income_idx,2022,78.05,27,27,120.15
C3,real_income_idx,2023,82.07,26,26,116.17500000000001
C3,real_income_idx,2024,84.13,26,26,120.59
C3,arop_threshold_real,2015,65.14,26,26,106.455
C3,arop_threshold_real,2016,64.95,26,26,108.78999999999999
C3,arop_threshold_real,2017,65.08,26,26,109.485
C3,arop_threshold_real,2018,66.82,26,26,111.4
C3,arop_threshold_real,2019,69.28,26,26,113.815
C3,arop_threshold_real,2020,75.19,26,26,119.91999999999999
C3,arop_threshold_real,2021,74.5,26,26,120.38
C3,arop_threshold_real,2022,74.15,26,26,114.475
C3,arop_threshold_real,2023,75.15,26,26,113.475
C3,arop_threshold_real,2024,78.77,26,26,119.105
C3,pct_below_peak,2015,24.836601307189543,1,27,0.0
C3,pct_below_peak,2016,24.556489262371617,1,27,0.0
C3,pct_below_peak,2017,23.295985060690946,1,27,0.0
C3,pct_below_peak,2018,21.52194211017741,1,27,0.0
C3,pct_below_peak,2019,19.65452847805789,1,27,0.0
C3,pct_below_peak,2020,26.89075630252101,1,27,4.379152241040517
C3,pct_below_peak,2021,20.121381886087768,1,27,0.0
C3,pct_below_peak,2022,15.219421101774042,1,27,0.0
C3,pct_below_peak,2023,13.165266106442576,1,27,0.0176118351532229
C3,pct_below_peak,2024,11.204481792717086,1,27,0.0
C4,wadj_a01,2015,141.89,10,27,127.22
C4,wadj_a01,2016,148.55,7,27,124.73
C4,wadj_a01,2017,148.25,6,27,124.64
C4,wadj_a01,2018,156.79,4,27,119.8
C4,wadj_a01,2019,162.17,3,27,118.39
C4,wadj_a01,2020,163.32,3,27,117.69
C4,wadj_a01,2021,165.61,3,27,120.2
C4,wadj_a01,2022,171.24,1,27,120.7
C4,wadj_a01,2023,173.08,1,27,122.32
C4,wadj_a01,2024,173.09,1,27,120.97
C5,hicp,2015,-1.1,25,27,0.1
C5,hicp,2016,0.0,15,27,0.1
C5,hicp,2017,1.1,22,27,1.6
C5,hicp,2018,0.8,24,27,1.9
C5,hicp,2019,0.5,25,27,1.5
C5,hicp,2020,-1.3,27,27,0.4
C5,hicp,2021,0.6,27,27,2.8
C5,hicp,2022,9.3,13,27,9.3
C5,hicp,2023,4.2,21,27,5.9
C5,hicp,2024,3.0,9,27,2.6
C6,housing_cost_overburden,2015,45.5,1,27,8.7
C6,housing_cost_overburden,2016,40.5,1,27,7.7
C6,housing_cost_overburden,2017,39.6,1,27,7.2
C6,housing_cost_overburden,2018,39.5,1,27,6.8
C6,housing_cost_overburden,2019,36.2,1,27,6.0
C6,housing_cost_overburden,2020,33.3,1,27,5.6
C6,housing_cost_overburden,2021,28.8,1,26,6.0
C6,housing_cost_overburden,2022,26.7,1,27,6.6
C6,housing_cost_overburden,2023,28.5,1,27,7.2
C6,housing_cost_overburden,2024,28.9,1,27,6.7
P1,severe_mat_soc_deprivation,2015,17.6,4,27,7.8
P1,severe_mat_soc_deprivation,2016,18.4,4,27,6.7
P1,severe_mat_soc_deprivation,2017,18.3,3,27,6.3
P1,severe_mat_soc_deprivation,2018,16.1,3,27,5.4
P1,severe_mat_soc_deprivation,2019,15.8,3,27,5.0
P1,severe_mat_soc_deprivation,2020,14.9,3,27,4.5
P1,severe_mat_soc_deprivation,2021,13.9,3,27,4.8
P1,severe_mat_soc_deprivation,2022,13.9,3,27,4.9
P1,severe_mat_soc_deprivation,2023,13.5,3,27,4.9
P1,severe_mat_soc_deprivation,2024,14.0,3,27,4.3
