time,gr_subjective_poverty,eu_subjective_poverty,gr_arop,eu_arop,gr_arope,eu_arope,gap_vs_arop,gap_vs_arope
2015,77.7,28.9,21.4,16.3,32.4,22.5,56.300000000000004,45.300000000000004
2016,76.80000000000001,25.9,21.2,16.5,32.6,22.2,55.60000000000001,44.20000000000001
2017,77.19999999999999,22.6,20.2,15.9,32.2,21.4,56.999999999999986,44.999999999999986
2018,74.1,20.5,18.5,16.4,30.3,20.1,55.599999999999994,43.8
2019,71.0,18.5,17.9,15.4,29.0,20.1,53.1,42.0
2020,69.80000000000001,16.8,17.7,16.1,27.4,19.9,52.10000000000001,42.40000000000001
2021,71.0,15.4,19.6,15.7,28.3,19.6,51.4,42.7
2022,68.4,17.9,18.8,15.6,26.3,19.6,49.60000000000001,42.10000000000001
2023,67.0,16.6,18.9,15.4,26.1,19.8,48.1,40.9
2024,66.7,17.1,19.6,15.5,26.9,19.6,47.1,39.800000000000004
