measure,greece_range,eu_median_range,distance_range,plain_reading
Long-term unemployment,16.4% → 5.4%,3.6% → 1.7%,12.8 → 3.7 pp,Large improvement; Greece remained above the median
Share below own GDP peak,24.8% → 11.2%,0.0% → 0.0%,24.8 → 11.2 pp,Substantial but incomplete recovery
Housing-cost overburden,45.5% → 28.9%,8.7% → 6.7%,36.8 → 22.2 pp,"Improved, but the remaining disadvantage was large"
AROPE,32.4% → 26.9%,22.5% → 19.6%,9.9 → 7.3 pp,Modest relative improvement
Income poverty,21.4% → 19.6%,16.3% → 15.5%,5.1 → 4.1 pp,Small relative improvement
Material deprivation,17.6% → 14.0%,7.8% → 4.3%,9.8 → 9.7 pp,Both improved; Greece's relative disadvantage barely changed
Reported hardship,77.7% → 66.7%,28.9% → 17.1%,48.8 → 49.6 pp,Both fell; Greece's exceptional distance remained
"Real wages, 2008 = 100",76.9 → 68.2,101.4 → 111.8,24.5 → 43.7 points,Greece fell further behind
Material resources,"14,770 → 21,310 PPS","16,230 → 24,129 PPS","1,461 → 2,819 PPS","Resources rose in Greece, but more slowly than the median"
Wage-adjusted affordability,141.9 → 173.1,127.2 → 121.0,14.7 → 52.1 points,Affordability pressure deteriorated sharply relative to Europe
