geo,resid,rank
LU,15.480043244598562,1
BG,14.652541630322787,2
CY,10.749313985634197,3
RO,9.761418855474659,4
HU,7.417597508652113,5
IE,6.1363509773306415,6
BE,5.256505975533609,7
LV,4.652465752293795,8
FR,3.8765603956029855,9
AT,0.9486909295778672,10
PT,0.6226866911209846,11
MT,0.363809891862841,12
HR,-0.3770132594951157,13
SK,-0.6846621689608842,14
LT,-1.8112376052434016,15
CZ,-3.6273940844885417,16
DK,-3.6500649647676524,17
PL,-4.32117193232879,18
SE,-4.5489925477139845,19
NL,-4.868798893834599,20
IT,-5.177483656424765,21
DE,-5.995680293452242,22
SI,-6.334846351881003,23
FI,-6.798056313493062,24
EL,-9.392170463956958,25
ES,-10.0586676629463,26
EE,-10.120228630156266,27
