time,subjective_poverty,predicted,residual,model
2015,77.7,82.5,-4.8,C_plus_arrears_unexpected
2016,76.8,81.4,-4.6,C_plus_arrears_unexpected
2017,77.2,77.2,0.0,C_plus_arrears_unexpected
2018,74.1,73.3,0.8,C_plus_arrears_unexpected
2019,71.0,68.6,2.4,C_plus_arrears_unexpected
2020,69.8,63.6,6.2,C_plus_arrears_unexpected
2021,71.0,58.6,12.4,C_plus_arrears_unexpected
2022,68.4,65.6,2.8,C_plus_arrears_unexpected
2023,67.0,65.7,1.3,C_plus_arrears_unexpected
2024,66.7,60.9,5.8,C_plus_arrears_unexpected
