var,name,time,greece,eu_median,rank_worst_first,n_countries
unmet_care,Unmet medical care,2016,13.1,1.7,2,27
unmet_care,Unmet medical care,2019,8.1,1.4,2,27
unmet_care,Unmet medical care,2022,9.0,1.8,2,27
unmet_care,Unmet medical care,2024,12.1,1.9,1,27
not_good_health,Not good or very good health,2016,26.09999999999999,30.90000000000001,23,27
not_good_health,Not good or very good health,2019,20.90000000000001,31.59999999999999,26,27
not_good_health,Not good or very good health,2022,22.90000000000001,32.3,26,27
not_good_health,Not good or very good health,2024,21.799999999999997,33.3,25,27
chronic_illness,Long-standing illness,2016,24.1,34.7,24,27
chronic_illness,Long-standing illness,2019,23.9,36.3,24,27
chronic_illness,Long-standing illness,2022,25.0,36.3,23,27
chronic_illness,Long-standing illness,2024,24.7,36.0,23,27
activity_limitation,Activity limitation,2016,24.9,26.2,17,27
activity_limitation,Activity limitation,2019,23.3,25.5,20,27
activity_limitation,Activity limitation,2022,22.4,28.0,21,27
activity_limitation,Activity limitation,2024,18.4,24.55,23,26
