time,subjective_poverty,predicted_lgo,residual_lgo
2015,77.7,70.98309256317667,6.716907436823334
2016,76.80000000000001,71.03120693528034,5.768793064719674
2017,77.19999999999999,67.04813787856571,10.151862121434277
2018,74.1,63.181207029054455,10.918792970945539
2019,71.0,59.148928956391444,11.851071043608556
2020,69.80000000000001,54.897318601749085,14.902681398250927
2021,71.0,50.592156748604395,20.407843251395605
2022,68.4,57.30981314106671,11.090186858933293
2023,67.0,57.01052146735255,9.989478532647453
2024,66.7,52.55725971052017,14.142740289479832
