time,subjective_poverty,predicted_lgo,residual_lgo
2015,77.7,70.98309256317671,6.716907436823291
2016,76.80000000000001,71.03120693528035,5.7687930647196595
2017,77.19999999999999,67.04813787856574,10.151862121434249
2018,74.1,63.18120702905448,10.918792970945518
2019,71.0,59.14892895639147,11.851071043608528
2020,69.80000000000001,54.89731860174912,14.902681398250891
2021,71.0,50.59215674860442,20.407843251395583
2022,68.4,57.30981314106673,11.090186858933272
2023,67.0,57.01052146735255,9.989478532647453
2024,66.7,52.557259710520185,14.142740289479818
