geo,avg_residual,min_residual,max_residual,n_years
EL,11.594035696823827,5.7687930647196595,20.407843251395583,10
LU,10.687242152179554,6.977414175100092,15.086366018290574,8
CY,8.070549962525625,1.2980758265946548,18.25810100014735,10
PT,7.9950251156379935,3.868005088117961,11.770466403087411,10
IT,7.428499920637243,5.841428633051116,11.710187634477744,10
SK,6.119077405601935,0.4684118284256584,10.834272204138028,10
BE,5.716677731271405,3.9377792819236497,7.176695871642355,10
CZ,4.9466028520022505,2.8296009127062156,9.500118793037434,10
MT,3.902548710122004,-0.3062285361832373,10.060421001996064,10
HR,2.1304221041082108,-2.3078456958762885,6.725862684237953,10
LV,1.6732616438805141,-0.49825191032807226,5.1508000043045215,10
AT,1.4951779022394887,-0.6045187419224796,4.186820091734381,10
NL,0.8572429609744349,-1.6229769118936481,3.1076676552454883,10
HU,0.5422463843281538,-3.7108802158445435,7.589001636465738,10
BG,0.3031509595159285,-4.299794379828526,4.075503287630788,10
PL,0.021959727897877635,-1.9579578017372015,2.8966186928089535,10
FR,-1.6142874067221737,-4.545109928147621,2.6855009847129203,9
IE,-2.978737217618657,-7.702644920662319,-0.9412834694525642,10
LT,-3.808473514004769,-6.403916951721348,0.8281301154003984,10
DK,-3.9320707287189576,-7.38661411134154,-1.3362649442812558,10
SE,-4.3620357979597015,-6.259496321698695,-3.004858456693702,10
SI,-4.656790649951298,-7.776340649720076,-0.4388362050981769,10
DE,-5.954306879615276,-6.926579386079538,-4.255084139538635,10
ES,-7.420154067786856,-11.845914781667972,-0.9444598206495272,10
EE,-7.681200351664873,-11.051996474411274,-5.997143066973214,10
RO,-7.8657696570744715,-16.603189094810148,-2.1313283883522303,10
FI,-13.837676623926262,-17.129634620289778,-10.62710549750029,10
