geo,avg_residual,n_years,rank
LU,9.78813263020893,8,1
CY,7.717580604200751,10,2
PT,7.533946365108823,10,3
EL,7.095635934562831,10,4
IT,6.459299327533158,10,5
SK,6.412799630656773,10,6
BE,5.859652275007093,10,7
CZ,4.157010913718179,10,8
HR,3.5293008802138304,10,9
MT,2.8995945203212767,10,10
BG,2.827624875803142,10,11
LV,1.953361071851069,10,12
AT,1.2225848089734022,10,13
NL,0.990188108245827,10,14
HU,0.12518321604446783,10,15
PL,0.008435359568306567,10,16
FR,-1.2007544671840675,9,17
DK,-2.5623440101002153,10,18
IE,-2.7053552098032627,10,19
SE,-3.4954853995675057,10,20
LT,-3.985719798202813,10,21
SI,-4.723943610621742,10,22
ES,-5.564394000592787,10,23
DE,-5.7487032874751325,10,24
EE,-8.676842677953438,10,25
RO,-9.389455532262742,10,26
FI,-14.339124803698445,10,27
