year,gr_arop,eu_arop,eu_arop_source,gr_arop_rank,n_countries_arop,gr_subjective_poverty,great_difficulty,difficulty,eu_subjective_poverty,eu_subjective_poverty_source,gr_subj_rank,n_countries_subj,gr_eu_arop_gap,gr_eu_subjective_gap,eu_composition
2003,20.7,,,1,6,48.0,17.7,30.3,,,1,6,,,EU15
2004,19.9,,,5,13,45.4,14.2,31.2,,,1,13,,,EU25
2005,19.6,16.0,EU,5,25,50.8,17.1,33.7,,,3,25,3.6000000000000014,,EU25
2006,20.5,16.1,EU,2,25,52.6,18.4,34.2,,,1,25,4.399999999999999,,EU25
2007,20.3,16.6,EU,4,27,52.400000000000006,18.8,33.6,23.799999999999997,EU27_2007,2,27,3.6999999999999993,28.60000000000001,EU27 (pre-Croatia)
2008,20.1,16.6,EU,5,27,54.5,20.0,34.5,25.0,EU27_2007,2,27,3.5,29.5,EU27 (pre-Croatia)
2009,19.7,16.4,EU,7,27,57.0,22.3,34.7,26.1,EU27_2007,2,27,3.3000000000000007,30.9,EU27 (pre-Croatia)
2010,20.1,16.5,EU,6,27,58.400000000000006,24.2,34.2,28.0,EU27_2020,2,27,3.6000000000000014,30.400000000000006,EU27 (pre-Croatia)
2011,21.4,16.9,EU,3,27,62.6,25.6,37.0,27.299999999999997,EU27_2020,1,27,4.5,35.300000000000004,EU27 (pre-Croatia)
2012,23.1,16.8,EU,1,27,73.1,35.0,38.1,28.799999999999997,EU27_2020,1,27,6.300000000000001,44.3,EU27 (pre-Croatia)
2013,23.1,16.8,EU27_2020,1,28,78.30000000000001,39.6,38.7,30.0,EU27_2020,1,28,6.300000000000001,48.30000000000001,EU28
2014,22.1,17.3,EU27_2020,3,28,78.1,39.5,38.6,28.9,EU27_2020,1,28,4.800000000000001,49.199999999999996,EU28
2015,21.4,17.4,EU27_2020,7,28,77.7,38.2,39.5,27.1,EU27_2020,1,28,4.0,50.6,EU28
2016,21.2,17.5,EU27_2020,7,28,76.80000000000001,40.6,36.2,25.3,EU27_2020,1,28,3.6999999999999993,51.500000000000014,EU28
2017,20.2,16.9,EU27_2020,8,28,77.19999999999999,39.9,37.3,22.0,EU27_2020,1,28,3.3000000000000007,55.19999999999999,EU28
2018,18.5,16.8,EU27_2020,10,28,74.1,38.2,35.9,21.5,EU27_2020,1,28,1.6999999999999993,52.599999999999994,EU28
2019,17.9,16.5,EU27_2020,9,27,71.0,37.7,33.3,18.5,EU27_2020,1,27,1.3999999999999986,52.5,EU28
2020,17.7,16.7,EU27_2020,9,27,69.80000000000001,36.1,33.7,19.799999999999997,EU27_2020,1,27,1.0,50.000000000000014,EU27 (post-Brexit)
2021,19.6,16.8,EU27_2020,8,27,71.0,39.0,32.0,18.3,EU27_2020,1,27,2.8000000000000007,52.7,EU27 (post-Brexit)
2022,18.8,16.5,EU27_2020,8,27,68.4,36.8,31.6,19.0,EU27_2020,1,27,2.3000000000000007,49.400000000000006,EU27 (post-Brexit)
2023,18.9,16.2,EU27_2020,9,27,67.0,36.7,30.3,19.1,EU27_2020,1,27,2.6999999999999993,47.9,EU27 (post-Brexit)
2024,19.6,16.2,EU27_2020,7,27,66.7,35.4,31.3,17.4,EU27_2020,1,27,3.400000000000002,49.300000000000004,EU27 (post-Brexit)
2025,19.6,16.3,EU27_2020,4,27,67.2,35.0,32.2,17.6,EU27_2020,1,27,3.3000000000000007,49.6,EU27 (post-Brexit)
