geo,total_net_migration,avg_population,n_years,cum_net_pct_of_pop
LT,243338.0,2941574.411764706,17,8.2723727479672
HR,243289.0,4101847.3529411764,17,5.931205602411137
RO,849659.0,19738376.17647059,17,4.304604352473777
LU,17038.0,575743.7647058824,17,2.9593025655612317
EL,290281.0,10783300.823529411,17,2.691949383129516
PL,1014893.0,37722305.875,16,2.6904320307540055
SI,46557.0,2071110.705882353,17,2.2479242595660947
FR,1380603.0,66441282.294117644,17,2.0779294925231016
IE,90151.0,4811310.235294118,17,1.8737307633725895
BE,198811.0,11349612.933333334,15,1.7516985043260858
EE,21929.0,1330497.7647058824,17,1.648180145935652
IT,799607.0,59702719.705882356,17,1.3393141952982366
SE,127581.0,9885621.352941176,17,1.2905713808474166
AT,98950.0,8679591.11764706,17,1.1400306611081956
DE,882086.0,82100204.35294117,17,1.0744017106315522
NL,173972.0,17065511.23529412,17,1.0194362044085674
PT,83133.0,10453395.8125,16,0.7952726701555768
ES,214223.0,46876787.35294118,17,0.4569916414857706
CZ,48258.0,10565668.94117647,17,0.45674344207330947
FI,23245.0,5464780.352941177,17,0.425360188310028
SK,-936.0,5420868.117647059,17,-0.017266607113221435
HU,-30075.0,9802277.588235294,17,-0.3068164488230373
MT,-1979.0,463953.4117647059,17,-0.42655144887772706
DK,-68217.0,5707419.05882353,17,-1.1952337702369724
CY,-11840.0,879132.4375,16,-1.3467822929693685
