geo,time,emigration_nationals,immigration_nationals,population,net_migration_nationals,net_migration_rate_per1000
AT,2008,18168,8636.0,8307989,9532.0,1.1473293958381503
AT,2009,16376,8988.0,8335003,7388.0,0.8863824044214501
AT,2010,16059,8817.0,8351643,7242.0,0.8671347661771462
AT,2011,14401,8082.0,8375164,6319.0,0.7544926881431815
AT,2012,15443,8272.0,8408121,7171.0,0.8528659375858173
AT,2013,15368,9237.0,8451860,6131.0,0.7254024557907963
AT,2014,14800,9203.0,8507786,5597.0,0.6578679811645474
AT,2015,15150,9443.0,8584926,5707.0,0.664769853578237
AT,2016,15269,9768.0,8700471,5501.0,0.6322646210762612
AT,2017,15021,9684.0,8772865,5337.0,0.6083531434713745
AT,2018,14372,9578.0,8822267,4794.0,0.543397745726807
AT,2019,14609,9979.0,8858775,4630.0,0.522645625382742
AT,2020,12767,10096.0,8901064,2671.0,0.3000764852381692
AT,2021,12925,9631.0,8932664,3294.0,0.3687589726872073
AT,2022,17144,10501.0,8978929,6643.0,0.739843248565614
AT,2023,14001,8639.0,9104772,5362.0,0.5889219411534962
AT,2024,14463,8832.0,9158750,5631.0,0.6148218916336836
BE,2010,22603,18557.0,10839905,4046.0,0.3732505035791365
BE,2011,31475,13790.0,11000638,17685.0,1.6076340299535354
BE,2012,33158,13422.0,11075889,19736.0,1.7818885689446688
BE,2013,32980,14549.0,11137974,18431.0,1.6547892821441317
BE,2014,29660,16813.0,11180840,12847.0,1.1490192150142566
BE,2015,29949,17864.0,11237274,12085.0,1.075438758545889
BE,2016,30691,17615.0,11311117,13076.0,1.156030832321865
BE,2017,31108,17536.0,11351727,13572.0,1.1955890059723953
BE,2018,32145,18197.0,11398589,13948.0,1.223660226717535
BE,2019,30787,19010.0,11455519,11777.0,1.0280634164196314
BE,2020,24535,17130.0,11522440,7405.0,0.6426590201380957
BE,2021,28221,17357.0,11554767,10864.0,0.9402180069922657
BE,2022,29907,15936.0,11617623,13971.0,1.2025695789921915
BE,2023,30579,15668.0,11742796,14911.0,1.2697997989575909
BE,2024,30655,16198.0,11817096,14457.0,1.22339701733827
BG,2012,13640,4964.0,7327224,8676.0,1.184077353169495
BG,2013,16036,4682.0,7202556,11354.0,1.5763848278305646
BG,2014,23849,9502.0,7117453,14347.0,2.0157491731943997
BG,2015,24487,10722.0,7029690,13765.0,1.9581233311853012
