geo,geo_label,subjective_poverty,arope,gap,group,time,subjective_poverty_y,arop,unemployment_rate,real_gdp_pc,severe_mat_soc_deprivation,aic_pps_pc,gdp_pps_pc,housing_cost_overburden,arrears,unexpected_expenses,real_gdp_pc_k,aic_pps_pc_k,gdp_pps_pc_k,pct_below_peak,d_subjective_poverty,d2_subjective_poverty,d_arop,d2_arop,d_unemployment_rate,d2_unemployment_rate,d_real_gdp_pc,d2_real_gdp_pc,d_severe_mat_soc_deprivation,d2_severe_mat_soc_deprivation,d_aic_pps_pc,d2_aic_pps_pc,d_housing_cost_overburden,d2_housing_cost_overburden,d_arrears,d2_arrears,d_unexpected_expenses,d2_unexpected_expenses,fin_expectations
EL,Greece,67.2,27.5,39.7,greece,2024,66.7,19.6,10.1,19020.0,14.0,21309.9,27400.0,28.9,42.8,43.9,19.02,21.309900000000003,27.4,11.204481792717086,-0.2999999999999971,1.1000000000000083,0.7000000000000028,0.600000000000005,-1.0,0.4000000000000003,420.0,-20.0,0.5,0.9000000000000004,608.8000000000029,-690.2999999999956,0.3999999999999986,-1.400000000000002,-4.5,-6.299999999999997,-0.3999999999999986,-1.0999999999999943,-43.24166666666667
BG,Bulgaria,36.1,29.0,7.100000000000001,other,2024,37.4,21.7,4.2,11330.0,16.6,17891.3,26300.0,8.0,18.7,45.6,11.33,17.891299999999998,26.3,0.0,4.199999999999996,11.29999999999999,1.099999999999998,3.399999999999995,-0.0999999999999996,-0.1999999999999993,380.0,170.0,-1.3999999999999986,-0.6999999999999993,1579.199999999999,320.2999999999993,-3.0999999999999996,0.9000000000000004,-0.1000000000000014,0.9999999999999964,-1.1000000000000014,-5.400000000000006,-12.233333333333334
RO,Romania,23.4,27.4,-4.0,other,2024,23.8,19.0,5.4,13090.0,17.2,21712.3,30800.0,4.7,15.3,40.0,13.09,21.7123,30.8,0.0,-3.8999999999999986,-5.599999999999998,-2.1000000000000014,-2.0000000000000036,-0.1999999999999993,-0.1999999999999993,120.0,-160.0,-2.6000000000000014,1.8999999999999984,1793.7999999999993,244.0,-4.3999999999999995,-4.999999999999999,0.9000000000000004,4.899999999999999,-6.399999999999999,-4.899999999999999,7.091666666666666
SK,Slovakia,23.1,16.7,6.400000000000002,other,2024,28.700000000000003,14.5,5.3,19110.0,7.6,20598.1,29800.0,6.4,8.4,28.2,19.11,20.5981,29.8,0.0,-1.5999999999999943,-4.199999999999992,0.1999999999999993,-0.4000000000000021,-0.5,-0.2000000000000001,360.0,-30.0,0.5999999999999996,-0.1000000000000005,1168.0,-7.799999999999272,0.5,-2.9000000000000004,-0.4000000000000003,-0.9000000000000004,-1.1000000000000014,-3.400000000000002,-7.133333333333333
IT,Italy,22.4,22.6,-0.2000000000000028,near_zero_gap,2024,18.7,18.9,6.5,32900.0,4.6,26638.5,39100.0,5.1,5.3,29.9,32.9,26.6385,39.1,0.0,0.0,3.6000000000000014,0.0,1.2000000000000028,-1.2000000000000002,-0.8000000000000007,270.0,-50.0,-0.1000000000000005,-0.3000000000000007,981.2000000000008,-122.0,-0.6000000000000005,0.2999999999999989,0.2999999999999998,1.5,1.099999999999998,5.199999999999996,-7.308333333333334
FR,France,21.7,20.8,0.8999999999999986,near_zero_gap,2024,21.8,15.9,7.4,38180.0,6.6,27457.0,39300.0,7.0,10.6,29.4,38.18,27.457,39.3,0.0,-0.3000000000000007,-0.7000000000000028,0.5,0.6999999999999993,0.1000000000000005,0.1000000000000005,450.0,0.0,0.0,0.4000000000000003,760.4000000000015,-1336.4999999999964,0.5,0.5,0.5999999999999996,0.7999999999999989,0.0,2.0,-6.858333333333333
ES,Spain,20.6,25.7,-5.099999999999998,other,2024,21.9,19.7,11.4,27800.0,8.3,24394.9,36400.0,7.8,14.2,35.9,27.8,24.3949,36.4,0.0,-0.7000000000000028,-1.2000000000000028,-0.5,-0.3000000000000007,-0.7999999999999989,1.7763568394002505e-15,650.0,320.0,-0.6999999999999993,-1.9999999999999991,1045.9000000000017,-568.0,-0.3999999999999994,0.6000000000000005,0.5999999999999996,0.1999999999999993,-1.3000000000000045,-3.000000000000007,13.075
PT,Portugal,20.3,18.6,1.6999999999999993,near_zero_gap,2024,21.799999999999997,16.6,6.5,22370.0,4.3,23356.1,32900.0,6.9,5.7,28.7,22.37,23.3561,32.9,0.0,-1.8000000000000045,-2.1000000000000085,-0.3999999999999986,-1.0,0.0,-0.2999999999999998,240.0,-200.0,-0.6000000000000005,-0.200000000000001,1154.3999999999978,-463.3000000000029,2.0,2.0999999999999996,0.5,1.3999999999999997,-1.8000000000000007,-2.400000000000002,-2.8083333333333336
HU,Hungary,20.1,19.5,0.6000000000000014,near_zero_gap,2024,19.799999999999997,14.3,4.5,16210.0,9.3,18552.9,30400.0,9.0,9.3,28.6,16.21,18.5529,30.4,0.0,-2.8000000000000043,-3.4000000000000057,0.5,0.1999999999999993,0.4000000000000003,-0.0999999999999992,160.0,270.0,-1.0,-2.200000000000001,1672.800000000003,1084.900000000005,1.7000000000000002,2.5,-1.5,-2.0,-2.6999999999999993,-0.2999999999999971,-13.058333333333332
LV,Latvia,20.0,24.7,-4.699999999999999,other,2024,23.299999999999997,21.6,6.9,16910.0,5.3,19157.8,27500.0,6.7,7.5,45.3,16.91,19.1578,27.5,0.0,-0.7000000000000028,-0.8000000000000043,-0.8999999999999986,-0.8999999999999986,0.4000000000000003,0.8000000000000007,140.0,260.0,-0.9000000000000004,0.6999999999999993,853.7000000000007,-122.99999999999636,-0.5,-2.3,-0.4000000000000003,-1.4000000000000004,0.5,-0.1999999999999957,1.2416666666666665
