geo,avg_residual,n_years,rank
EL,25.617673479571955,10,1
LU,18.507233036434872,10,2
CY,14.890403425254112,10,3
HR,10.17145976151798,10,4
BG,6.871022683666489,10,5
IE,2.2120932070132064,10,6
PT,2.110570743090249,10,7
MT,1.9276645726295634,10,8
LV,1.6426675112315672,10,9
CZ,1.3819617894478053,10,10
IT,1.335358410339244,10,11
PL,1.221778557432438,10,12
BE,0.35423407151190833,10,13
AT,0.296728441223134,10,14
HU,0.0293332916897338,10,15
SI,-0.1073734556941078,10,16
SK,-0.7158399966950227,10,17
DE,-1.209015708283163,10,18
NL,-1.3141859269978706,10,19
DK,-3.011576296241351,10,20
FR,-5.758603682108624,10,21
EE,-5.967256358633283,10,22
LT,-6.472185285011719,10,23
SE,-6.943347667457435,10,24
FI,-13.314649105406408,10,25
RO,-17.312130961376468,10,26
ES,-20.980773028621417,10,27
