geo,avg_residual,n_years,rank
EL,35.46163176832675,10,1
CY,19.369842159385414,10,2
LU,18.556603753118292,10,3
HR,11.038586538180997,10,4
BG,5.2938417679990275,10,5
IE,4.613348529462044,10,6
PT,3.0206495677917977,10,7
MT,2.5250280668693588,10,8
IT,2.370500082094843,10,9
LV,1.5881257149535646,10,10
BE,1.0745040056505455,10,11
HU,0.807362641245944,10,12
SK,0.5594858381048706,10,13
AT,0.4752306746163331,10,14
SI,0.2814479531771896,10,15
PL,-0.13938877950097073,10,16
CZ,-0.9304170161293868,10,17
NL,-2.7786683330653483,10,18
FR,-3.5229233414191063,9,19
LT,-5.514028902013389,10,20
DE,-5.680714241313828,10,21
DK,-7.056013397975491,10,22
SE,-7.880537637856484,10,23
EE,-8.13705849100169,10,24
FI,-11.55084804379953,10,25
RO,-14.800484674039492,10,26
ES,-18.883975687281048,10,27
