geo,avg_residual,n_years,rank
EL,11.594035696823827,10,1
LU,10.687242152179554,8,2
CY,8.070549962525625,10,3
PT,7.9950251156379935,10,4
IT,7.428499920637243,10,5
SK,6.119077405601935,10,6
BE,5.716677731271405,10,7
CZ,4.9466028520022505,10,8
MT,3.902548710122004,10,9
HR,2.1304221041082108,10,10
LV,1.6732616438805141,10,11
AT,1.4951779022394887,10,12
NL,0.8572429609744349,10,13
HU,0.5422463843281538,10,14
BG,0.3031509595159285,10,15
PL,0.021959727897877635,10,16
FR,-1.6142874067221737,9,17
IE,-2.978737217618657,10,18
LT,-3.808473514004769,10,19
DK,-3.9320707287189576,10,20
SE,-4.3620357979597015,10,21
SI,-4.656790649951298,10,22
DE,-5.954306879615276,10,23
ES,-7.420154067786856,10,24
EE,-7.681200351664873,10,25
RO,-7.8657696570744715,10,26
FI,-13.837676623926262,10,27
