freq,unit,tenure,geo,time,value,geo_label
A,PC,OWN_NL,EL,2024,25.7,Greece
A,PC,OWN_NL,SE,2024,14.0,Sweden
A,PC,OWN_NL,BG,2024,7.0,Bulgaria
A,PC,OWN_NL,DE,2024,6.8,Germany
A,PC,OWN_NL,HU,2024,6.7,Hungary
A,PC,OWN_NL,LV,2024,6.2,Latvia
A,PC,OWN_NL,DK,2024,6.0,Denmark
A,PC,OWN_NL,SK,2024,5.9,Slovakia
A,PC,OWN_NL,EE,2024,5.6,Estonia
A,PC,OWN_NL,LT,2024,5.2,Lithuania
A,PC,OWN_NL,PL,2024,4.4,Poland
A,PC,OWN_NL,RO,2024,4.0,Romania
A,PC,OWN_NL,CZ,2024,3.9,Czechia
A,PC,OWN_NL,HR,2024,3.1,Croatia
A,PC,OWN_NL,SI,2024,2.6,Slovenia
A,PC,OWN_NL,FI,2024,2.5,Finland
A,PC,OWN_NL,NL,2024,2.5,Netherlands
A,PC,OWN_NL,BE,2024,2.3,Belgium
A,PC,OWN_NL,IT,2024,2.2,Italy
A,PC,OWN_NL,ES,2024,2.2,Spain
A,PC,OWN_NL,PT,2024,2.0,Portugal
A,PC,OWN_NL,AT,2024,1.9,Austria
A,PC,OWN_NL,FR,2024,1.4,France
A,PC,OWN_NL,MT,2024,1.3,Malta
A,PC,OWN_NL,LU,2024,1.2,Luxembourg
A,PC,OWN_NL,IE,2024,1.0,Ireland
A,PC,OWN_NL,CY,2024,0.1,Cyprus
