geo,time,official,constructed,diff
AT,2010,14.4,14.4,0.0
AT,2011,14.5,14.4,-0.09999999999999964
AT,2012,14.0,14.0,0.0
AT,2013,14.0,14.0,0.0
AT,2014,14.9,14.9,0.0
AT,2015,13.4,13.399999999999999,-1.7763568394002505e-15
AT,2016,12.8,12.8,0.0
AT,2017,11.6,11.5,-0.09999999999999964
AT,2018,11.3,11.3,0.0
AT,2019,10.7,10.7,0.0
AT,2020,9.3,9.4,0.09999999999999964
AT,2021,10.0,10.1,0.09999999999999964
AT,2022,11.9,11.9,0.0
AT,2023,13.7,13.6,-0.09999999999999964
AT,2024,13.2,13.1,-0.09999999999999964
AT,2025,11.8,11.8,0.0
BE,2010,20.8,20.8,0.0
BE,2011,20.9,20.9,0.0
BE,2012,22.1,22.1,0.0
BE,2013,21.0,21.0,0.0
BE,2014,20.2,20.200000000000003,3.552713678800501e-15
BE,2015,20.5,20.5,0.0
BE,2016,21.4,21.5,0.10000000000000142
BE,2017,20.9,20.9,0.0
BE,2018,19.2,19.1,-0.09999999999999787
BE,2019,19.1,19.1,0.0
BE,2020,16.7,16.8,0.10000000000000142
BE,2021,15.6,15.6,0.0
BE,2022,16.6,16.7,0.09999999999999787
BE,2023,15.5,15.5,0.0
BE,2024,17.1,17.1,0.0
BE,2025,15.5,15.5,0.0
BG,2010,65.0,65.0,0.0
BG,2011,62.4,62.400000000000006,7.105427357601002e-15
BG,2012,66.0,65.9,-0.09999999999999432
BG,2013,65.2,65.19999999999999,-1.4210854715202004e-14
BG,2014,63.2,63.2,0.0
BG,2015,63.9,64.0,0.10000000000000142
BG,2016,61.8,61.699999999999996,-0.10000000000000142
BG,2017,58.3,58.4,0.10000000000000142
BG,2018,55.9,55.9,0.0
BG,2019,50.1,50.099999999999994,-7.105427357601002e-15
BG,2020,43.7,43.7,0.0
BG,2021,37.2,37.099999999999994,-0.10000000000000853
BG,2022,40.4,40.3,-0.10000000000000142
BG,2023,33.2,33.2,0.0
BG,2024,37.4,37.4,0.0
BG,2025,36.1,36.1,0.0
CY,2010,52.5,52.5,0.0
CY,2011,53.7,53.7,0.0
CY,2012,49.6,49.6,0.0
CY,2013,59.4,59.400000000000006,7.105427357601002e-15
CY,2014,60.5,60.400000000000006,-0.09999999999999432
CY,2015,58.8,58.8,0.0
CY,2016,59.8,59.8,0.0
CY,2017,43.6,43.599999999999994,-7.105427357601002e-15
CY,2018,46.4,46.4,0.0
CY,2019,36.3,36.3,0.0
CY,2020,26.7,26.7,0.0
CY,2021,26.0,26.1,0.10000000000000142
CY,2022,29.6,29.599999999999998,-3.552713678800501e-15
CY,2023,24.1,24.200000000000003,0.10000000000000142
CY,2024,20.8,20.8,0.0
CY,2025,18.2,18.200000000000003,3.552713678800501e-15
CZ,2010,27.5,27.5,0.0
CZ,2011,28.3,28.3,0.0
CZ,2012,31.1,31.1,0.0
CZ,2013,31.8,31.700000000000003,-0.09999999999999787
CZ,2014,30.8,30.7,-0.10000000000000142
CZ,2015,26.7,26.6,-0.09999999999999787
CZ,2016,23.1,23.200000000000003,0.10000000000000142
CZ,2017,22.0,22.0,0.0
CZ,2018,16.2,16.2,0.0
CZ,2019,13.1,13.100000000000001,1.7763568394002505e-15
CZ,2020,12.1,12.1,0.0
CZ,2021,11.4,11.399999999999999,-1.7763568394002505e-15
