geo,pre_rmse,post_rmse,ratio,rank,degenerate_prefit
CZ,7.81446428222412e-05,4.240309571105908,54262.31943693841,1,True
LT,6.176643619381772e-05,2.808966667283846,45477.233921503124,2,True
FI,0.019547704088446926,4.562939598317628,233.42585797655974,3,True
IT,0.03729581530665814,5.715581046275169,153.24992896065768,4,True
FR,0.06865624985718317,5.356186678151166,78.01455350813592,5,True
EL,0.9146065862553238,29.541013569583,32.29914808566255,6,False
SE,0.15451071588223514,2.9026461182034877,18.786050544324862,7,True
MT,0.6983830783325445,11.455369562724929,16.402702067289063,8,False
SK,0.9316372581074867,8.28029786475708,8.88789901079906,9,False
LV,1.1982185855202865,10.631980350315464,8.8731559323117,10,False
PL,1.863704059914555,14.312121304326256,7.679395893456616,11,False
NL,0.2933631638216514,2.099188702555259,7.155597434964432,12,False
EE,1.0008266511283805,5.86133793482514,5.856496655256715,13,False
DK,0.7027424759412395,3.305955744870321,4.704363060511446,14,False
HU,2.1251955671154494,9.132919211049321,4.297448833589245,15,False
SI,0.8072646728846888,2.595009067632065,3.21457033213039,16,False
BE,0.7539820364476204,2.2364681394130224,2.966208783899046,17,False
DE,1.5241365298476486,3.965136865570468,2.6015627786093543,18,False
AT,1.2878056735999073,2.9849014847201327,2.3178197968146828,19,False
LU,1.40623611140165,3.2504807335756074,2.3114757950112144,20,False
BG,24.113172920893952,16.919960335470726,0.7016895035331356,21,False
