geo,resid,rank
LU,8.79755718492638,1
CY,7.049072634923897,2
EL,6.931071880828716,3
LV,6.316147419995231,4
HU,4.861127731146588,5
BG,4.05552101622055,6
CZ,3.5284128550241443,7
SK,3.2750581804497783,8
BE,3.1286835650355993,9
IE,3.046631714895844,10
HR,2.6163446090659725,11
FR,1.8546507871827431,12
AT,1.3607082558066892,13
PT,1.2968290136679586,14
MT,1.2752499885671809,15
PL,0.5604819536888167,16
DK,0.16235568006575604,17
SE,-1.0017801054763995,18
SI,-2.6634598247960795,19
NL,-3.474519201303167,20
LT,-4.171028128745511,21
DE,-4.30561616106691,22
EE,-4.491087791775334,23
FI,-5.073660347772089,24
IT,-6.34820595410673,25
RO,-10.316045293746239,26
ES,-10.626685590918374,27
