geo,time,subjective_poverty,arop,unemployment_rate,real_gdp_pc,severe_mat_soc_deprivation
AT,2015,13.4,13.9,6.1,43200.0,2.9
AT,2016,12.8,14.1,6.5,43550.0,3.3
AT,2017,11.5,14.4,5.9,44260.0,3.4
AT,2018,11.3,14.3,5.2,45140.0,2.8
AT,2019,10.7,13.3,4.8,45730.0,2.7
AT,2020,9.4,13.9,6.0,42650.0,3.0
AT,2021,10.1,14.7,6.2,44580.0,1.8
AT,2022,11.9,14.8,4.8,46430.0,2.3
AT,2023,13.6,14.9,5.1,45670.0,3.7
AT,2024,13.1,14.3,5.2,45140.0,3.7
BE,2015,20.5,14.9,8.7,40310.0,7.2
BE,2016,21.5,15.5,7.9,40590.0,8.4
BE,2017,20.9,15.9,7.2,41030.0,7.2
BE,2018,19.1,16.4,6.0,41610.0,6.5
BE,2019,19.1,14.8,5.5,42400.0,6.2
BE,2020,16.8,14.1,5.8,40190.0,6.7
BE,2021,15.6,12.8,6.3,42530.0,6.2
BE,2022,16.7,13.1,5.6,43890.0,5.7
BE,2023,15.5,12.4,5.5,44190.0,6.1
BE,2024,17.1,11.4,5.7,44410.0,6.2
BG,2015,64.0,22.0,10.1,8130.0,36.8
BG,2016,61.7,22.9,8.6,8490.0,33.5
BG,2017,58.4,23.4,7.2,8840.0,30.0
BG,2018,55.9,22.0,6.2,9170.0,22.3
BG,2019,50.099999999999994,22.6,5.2,9650.0,22.1
BG,2020,43.7,23.8,6.1,9440.0,22.1
BG,2021,37.099999999999994,22.1,5.2,10250.0,19.1
BG,2022,40.3,22.9,4.2,10740.0,18.7
BG,2023,33.2,20.6,4.3,10950.0,18.0
BG,2024,37.4,21.7,4.2,11330.0,16.6
CY,2015,58.8,16.2,15.0,21140.0,7.9
CY,2016,59.8,16.1,13.0,22410.0,6.6
CY,2017,43.599999999999994,15.7,11.1,23500.0,6.1
CY,2018,46.4,15.4,8.4,24690.0,3.8
CY,2019,36.3,15.1,7.2,25790.0,3.1
CY,2020,26.7,14.8,7.6,24630.0,3.3
CY,2021,26.1,13.7,7.2,27030.0,2.4
CY,2022,29.6,14.7,6.3,28850.0,2.7
CY,2023,24.200000000000003,14.9,5.8,29320.0,2.4
CY,2024,20.8,14.6,4.8,29950.0,2.5
CZ,2015,26.6,9.7,5.1,19270.0,4.5
