geo,time,subjective_poverty,arop,unemployment_rate,real_gdp_pc,severe_mat_soc_deprivation,aic_pps_pc,gdp_pps_pc,housing_cost_overburden,arrears,unexpected_expenses,real_gdp_pc_k,aic_pps_pc_k,gdp_pps_pc_k
AT,2015,13.4,13.9,6.1,43200.0,2.9,23093.3,35700.0,6.4,6.4,22.6,43.2,23.0933,35.7
AT,2016,12.8,14.1,6.5,43550.0,3.3,23408.9,36400.0,7.2,6.5,22.6,43.55,23.408900000000003,36.4
AT,2017,11.5,14.4,5.9,44260.0,3.4,23882.3,37000.0,7.1,5.9,20.6,44.26,23.8823,37.0
AT,2018,11.3,14.3,5.2,45140.0,2.8,24516.7,38400.0,6.8,4.9,20.1,45.14,24.5167,38.4
AT,2019,10.7,13.3,4.8,45730.0,2.7,24965.0,39300.0,7.0,4.3,18.5,45.73,24.965,39.3
AT,2020,9.4,13.9,6.0,42650.0,3.0,23604.3,37400.0,6.3,5.3,17.6,42.65,23.6043,37.4
AT,2021,10.1,14.7,6.2,44580.0,1.8,25686.7,40200.0,6.1,4.8,18.6,44.58,25.686700000000002,40.2
AT,2022,11.9,14.8,4.8,46430.0,2.3,28670.4,44600.0,7.4,4.7,19.0,46.43,28.6704,44.6
AT,2023,13.6,14.9,5.1,45670.0,3.7,30138.3,46400.0,6.0,6.9,22.8,45.67,30.1383,46.4
AT,2024,13.1,14.3,5.2,45140.0,3.7,31379.6,47500.0,6.3,7.5,20.9,45.14,31.3796,47.5
BE,2015,20.5,14.9,8.7,40310.0,7.2,22339.7,33100.0,9.4,6.9,25.7,40.31,22.3397,33.1
BE,2016,21.5,15.5,7.9,40590.0,8.4,22670.2,33600.0,9.8,7.0,26.0,40.59,22.6702,33.6
BE,2017,20.9,15.9,7.2,41030.0,7.2,23338.4,34500.0,9.4,5.4,25.5,41.03,23.3384,34.5
BE,2018,19.1,16.4,6.0,41610.0,6.5,24076.4,35600.0,8.9,6.1,24.5,41.61,24.076400000000003,35.6
BE,2019,19.1,14.8,5.5,42400.0,6.2,24638.0,36900.0,8.4,5.6,25.3,42.4,24.638,36.9
BE,2020,16.8,14.1,5.8,40190.0,6.7,23612.1,35900.0,7.7,5.6,23.2,40.19,23.612099999999998,35.9
BE,2021,15.6,12.8,6.3,42530.0,6.2,25314.9,38700.0,7.6,4.1,22.3,42.53,25.3149,38.7
BE,2022,16.7,13.1,5.6,43890.0,5.7,28396.9,42500.0,7.5,4.2,22.7,43.89,28.396900000000002,42.5
BE,2023,15.5,12.4,5.5,44190.0,6.1,30338.0,45400.0,7.8,4.7,21.6,44.19,30.338,45.4
BE,2024,17.1,11.4,5.7,44410.0,6.2,31479.6,46600.0,6.7,5.0,21.6,44.41,31.479599999999998,46.6
BG,2015,64.0,22.0,10.1,8130.0,36.8,9522.7,13600.0,14.8,33.6,53.4,8.13,9.5227,13.6
BG,2016,61.7,22.9,8.6,8490.0,33.5,9841.1,14400.0,20.7,34.2,54.2,8.49,9.8411,14.4
BG,2017,58.4,23.4,7.2,8840.0,30.0,10396.1,15300.0,18.9,33.3,53.2,8.84,10.3961,15.3
BG,2018,55.9,22.0,6.2,9170.0,22.3,11035.1,16300.0,17.9,31.9,32.1,9.17,11.0351,16.3
BG,2019,50.099999999999994,22.6,5.2,9650.0,22.1,11743.7,17400.0,16.0,29.3,36.5,9.65,11.7437,17.4
BG,2020,43.7,23.8,6.1,9440.0,22.1,11830.3,17500.0,14.4,23.6,43.5,9.44,11.8303,17.5
BG,2021,37.099999999999994,22.1,5.2,10250.0,19.1,13391.8,19700.0,11.6,20.4,36.4,10.25,13.3918,19.7
BG,2022,40.3,22.9,4.2,10740.0,18.7,15053.2,22400.0,15.1,19.9,42.4,10.74,15.0532,22.4
BG,2023,33.2,20.6,4.3,10950.0,18.0,16312.1,24300.0,11.1,18.8,46.7,10.95,16.3121,24.3
BG,2024,37.4,21.7,4.2,11330.0,16.6,17891.3,26300.0,8.0,18.7,45.6,11.33,17.891299999999998,26.3
CY,2015,58.8,16.2,15.0,21140.0,7.9,16985.7,22600.0,3.9,31.6,60.5,21.14,16.9857,22.6
CY,2016,59.8,16.1,13.0,22410.0,6.6,17860.7,24500.0,3.1,26.6,56.6,22.41,17.8607,24.5
CY,2017,43.599999999999994,15.7,11.1,23500.0,6.1,18817.7,25900.0,2.8,24.8,50.1,23.5,18.817700000000002,25.9
CY,2018,46.4,15.4,8.4,24690.0,3.8,19647.8,27300.0,2.0,21.6,49.5,24.69,19.6478,27.3
CY,2019,36.3,15.1,7.2,25790.0,3.1,20649.1,28900.0,2.2,17.2,46.7,25.79,20.649099999999997,28.9
CY,2020,26.7,14.8,7.6,24630.0,3.3,19596.4,27200.0,1.9,15.4,43.7,24.63,19.596400000000003,27.2
CY,2021,26.1,13.7,7.2,27030.0,2.4,20565.0,30400.0,2.4,17.3,42.1,27.03,20.565,30.4
CY,2022,29.6,14.7,6.3,28850.0,2.7,23490.7,34500.0,2.6,13.9,40.3,28.85,23.4907,34.5
CY,2023,24.200000000000003,14.9,5.8,29320.0,2.4,25642.3,37400.0,2.6,13.9,37.5,29.32,25.6423,37.4
CY,2024,20.8,14.6,4.8,29950.0,2.5,26819.7,39500.0,2.4,12.5,34.8,29.95,26.8197,39.5
