geo,time,subjective_poverty,arop,unemployment_rate,real_gdp_pc,severe_mat_soc_deprivation,real_gdp_pc_k,predicted,residual,residual_rank
AT,2015,13.4,13.9,6.1,43200.0,2.9,43.2,13.044121571736705,0.35587842826329563,15.0
AT,2016,12.8,14.1,6.5,43550.0,3.3,43.55,15.987360434448046,-3.1873604344480455,16.0
AT,2017,11.5,14.4,5.9,44260.0,3.4,44.26,14.894814518011891,-3.3948145180118914,21.0
AT,2018,11.3,14.3,5.2,45140.0,2.8,45.14,14.786703987428169,-3.486703987428168,18.0
AT,2019,10.7,13.3,4.8,45730.0,2.7,45.73,13.246674853775165,-2.5466748537751656,17.0
AT,2020,9.4,13.9,6.0,42650.0,3.0,42.65,13.473482991353762,-4.073482991353762,19.0
AT,2021,10.1,14.7,6.2,44580.0,1.8,44.58,11.802019957354208,-1.7020199573542083,15.0
AT,2022,11.9,14.8,4.8,46430.0,2.3,46.43,11.769940985091427,0.1300590149085732,14.0
AT,2023,13.6,14.9,5.1,45670.0,3.7,45.67,13.787723344512145,-0.18772334451214512,13.0
AT,2024,13.1,14.3,5.2,45140.0,3.7,45.14,14.085445584477569,-0.9854455844775689,16.0
BE,2015,20.5,14.9,8.7,40310.0,7.2,40.31,24.002798755986284,-3.5027987559862837,18.0
BE,2016,21.5,15.5,7.9,40590.0,8.4,40.59,25.18908601057153,-3.689086010571529,18.0
BE,2017,20.9,15.9,7.2,41030.0,7.2,41.03,22.1936538410791,-1.2936538410791023,16.0
BE,2018,19.1,16.4,6.0,41610.0,6.5,41.61,20.584123925072866,-1.4841239250728648,16.0
BE,2019,19.1,14.8,5.5,42400.0,6.2,42.4,18.89374799783315,0.20625200216685258,14.0
BE,2020,16.8,14.1,5.8,40190.0,6.7,40.19,18.081405437520267,-1.2814054375202666,16.0
BE,2021,15.6,12.8,6.3,42530.0,6.2,42.53,19.12001873809111,-3.520018738091112,20.0
BE,2022,16.7,13.1,5.6,43890.0,5.7,43.89,19.25595504249349,-2.5559550424934905,20.0
BE,2023,15.5,12.4,5.5,44190.0,6.1,44.19,19.43406263261617,-3.9340626326161683,21.0
BE,2024,17.1,11.4,5.7,44410.0,6.2,44.41,20.190133739083244,-3.0901337390832424,17.0
BG,2015,64.0,22.0,10.1,8130.0,36.8,8.13,66.02437645698097,-2.024376456980974,16.0
BG,2016,61.7,22.9,8.6,8490.0,33.5,8.49,59.73433416297291,1.965665837027096,11.0
BG,2017,58.4,23.4,7.2,8840.0,30.0,8.84,52.23882943975242,6.161170560247577,9.0
BG,2018,55.9,22.0,6.2,9170.0,22.3,9.17,43.201427753776066,12.698572246223932,3.0
BG,2019,50.099999999999994,22.6,5.2,9650.0,22.1,9.65,39.32901737517618,10.770982624823816,4.0
BG,2020,43.7,23.8,6.1,9440.0,22.1,9.44,37.72174280636713,5.978257193632871,6.0
BG,2021,37.099999999999994,22.1,5.2,10250.0,19.1,10.25,33.02966022977027,4.070339770229722,6.0
BG,2022,40.3,22.9,4.2,10740.0,18.7,10.74,32.497828822656665,7.802171177343332,4.0
BG,2023,33.2,20.6,4.3,10950.0,18.0,10.95,32.64106104696876,0.5589389530312445,12.0
BG,2024,37.4,21.7,4.2,11330.0,16.6,11.33,29.566956453704254,7.833043546295745,3.0
CY,2015,58.8,16.2,15.0,21140.0,7.9,21.14,40.63362468921795,18.166375310782044,1.0
CY,2016,59.8,16.1,13.0,22410.0,6.6,22.41,36.29318743799047,23.50681256200953,1.0
CY,2017,43.599999999999994,15.7,11.1,23500.0,6.1,23.5,32.00271063598884,11.597289364011154,1.0
CY,2018,46.4,15.4,8.4,24690.0,3.8,24.69,25.503167993093108,20.89683200690689,1.0
CY,2019,36.3,15.1,7.2,25790.0,3.1,25.79,20.99029534512452,15.309704654875478,1.0
CY,2020,26.7,14.8,7.6,24630.0,3.3,24.63,19.604053956472967,7.095946043527032,4.0
CY,2021,26.1,13.7,7.2,27030.0,2.4,27.03,18.078643094518196,8.021356905481806,4.0
CY,2022,29.6,14.7,6.3,28850.0,2.7,28.85,18.333203952501016,11.266796047498985,2.0
CY,2023,24.200000000000003,14.9,5.8,29320.0,2.4,29.32,16.200474717189167,7.999525282810836,2.0
