geo,peak_year,peak_val,trough_year,trough_val,decline_pct
AL,2019,4850,2020,4710,2.88659793814433
AT,2019,45730,2020,42650,6.735184780231795
BA,2019,5240,2020,5110,2.480916030534351
BE,2019,42400,2020,40190,5.212264150943396
BG,2008,7110,2009,6910,2.8129395218002813
CH,2008,74230,2009,71980,3.0311194934662535
CY,2008,25140,2014,20490,18.4964200477327
CZ,2008,18330,2009,17350,5.346426623022368
DE,2008,38840,2009,36810,5.226570545829042
DK,2008,51270,2009,48460,5.480787985176517
EA19,2019,36050,2020,33830,6.158113730929265
EA20,2019,35800,2020,33590,6.173184357541899
EA21,2019,35310,2020,33140,6.145567827810819
EE,2008,17510,2009,14980,14.448886350656768
EL,2008,21420,2020,15660,26.89075630252101
ES,2019,26930,2020,23850,11.437059041960639
EU27_2020,2019,32270,2020,30500,5.48497056089247
FI,2008,44350,2009,40570,8.523111612175875
FR,2019,37160,2020,34230,7.884822389666308
HR,2008,12400,2012,11270,9.112903225806452
HU,2008,11690,2009,10920,6.586826347305389
IE,2008,46160,2009,43390,6.000866551126516
IS,2008,55580,2010,50250,9.589780496581504
IT,2008,31990,2020,28100,12.160050015629885
LT,2008,12640,2009,10880,13.924050632911392
LU,2021,107570,2024,101000,6.107650832016361
LV,2008,12900,2010,10840,15.968992248062015
MD,2019,4140,2020,3840,7.246376811594203
ME,2019,7780,2020,6610,15.038560411311053
MK,2019,6070,2020,5840,3.7891268533772653
MT,2018,29510,2020,27870,5.557438156557099
NL,2019,48970,2020,46810,4.41086379415969
NO,2008,61200,2010,59310,3.088235294117647
PL,2008,9570,2008,9570,0.0
PT,2019,21150,2020,19360,8.463356973995271
RO,2008,8740,2010,8050,7.894736842105263
RS,2008,5950,2009,5790,2.689075630252101
SE,2008,43330,2009,41130,5.077313639510732
SI,2008,21600,2013,19210,11.064814814814815
SK,2008,14030,2009,13230,5.702066999287242
TR,2008,5240,2009,4920,6.106870229007634
