geo,time,n_ind,n_worst,share_worst_composite
AT,2005,13,0,0.0
AT,2006,13,0,0.0
AT,2007,13,0,0.0
AT,2008,16,0,0.0
AT,2009,19,0,0.0
AT,2010,19,0,0.0
AT,2011,19,0,0.0
AT,2012,19,0,0.0
AT,2013,20,1,0.05
AT,2014,21,2,0.09523809523809523
AT,2015,23,1,0.043478260869565216
AT,2016,23,3,0.13043478260869565
AT,2017,23,1,0.043478260869565216
AT,2018,24,1,0.041666666666666664
AT,2019,23,1,0.043478260869565216
AT,2020,23,3,0.13043478260869565
AT,2021,24,2,0.08333333333333333
AT,2022,24,1,0.041666666666666664
AT,2023,24,2,0.08333333333333333
AT,2024,24,2,0.08333333333333333
AT,2025,16,1,0.0625
BE,2005,13,0,0.0
BE,2006,13,0,0.0
BE,2007,13,0,0.0
BE,2008,15,1,0.06666666666666667
BE,2009,19,0,0.0
BE,2010,20,1,0.05
BE,2011,20,1,0.05
BE,2012,20,0,0.0
BE,2013,21,0,0.0
BE,2014,22,0,0.0
BE,2015,24,2,0.08333333333333333
BE,2016,24,3,0.125
BE,2017,24,1,0.041666666666666664
BE,2018,25,1,0.04
BE,2019,24,0,0.0
BE,2020,24,1,0.041666666666666664
BE,2021,25,2,0.08
BE,2022,25,1,0.04
BE,2023,25,0,0.0
BE,2024,25,5,0.2
BE,2025,17,2,0.11764705882352941
BG,2005,11,9,0.8181818181818182
BG,2006,13,10,0.7692307692307693
BG,2007,13,12,0.9230769230769231
BG,2008,15,11,0.7333333333333333
BG,2009,19,12,0.631578947368421
BG,2010,19,11,0.5789473684210527
BG,2011,19,11,0.5789473684210527
BG,2012,20,10,0.5
BG,2013,21,11,0.5238095238095238
BG,2014,22,11,0.5
BG,2015,24,13,0.5416666666666666
BG,2016,24,11,0.4583333333333333
BG,2017,24,13,0.5416666666666666
BG,2018,25,13,0.52
BG,2019,24,13,0.5416666666666666
BG,2020,24,14,0.5833333333333334
BG,2021,25,14,0.56
BG,2022,25,12,0.48
BG,2023,22,11,0.5
BG,2024,22,11,0.5
BG,2025,17,12,0.7058823529411765
CY,2005,13,3,0.23076923076923078
CY,2006,13,3,0.23076923076923078
CY,2007,13,2,0.15384615384615385
CY,2008,15,1,0.06666666666666667
CY,2009,19,3,0.15789473684210525
CY,2010,19,3,0.15789473684210525
CY,2011,19,4,0.21052631578947367
CY,2012,19,5,0.2631578947368421
CY,2013,20,6,0.3
CY,2014,21,7,0.3333333333333333
CY,2015,23,10,0.43478260869565216
CY,2016,23,10,0.43478260869565216
CY,2017,23,10,0.43478260869565216
CY,2018,24,9,0.375
CY,2019,23,6,0.2608695652173913
CY,2020,23,5,0.21739130434782608
CY,2021,24,6,0.25
CY,2022,24,5,0.20833333333333334
CY,2023,25,6,0.24
CY,2024,25,4,0.16
CY,2025,17,0,0.0
CZ,2005,13,0,0.0
CZ,2006,13,1,0.07692307692307693
CZ,2007,13,1,0.07692307692307693
CZ,2008,16,3,0.1875
CZ,2009,20,2,0.1
CZ,2010,20,1,0.05
CZ,2011,20,1,0.05
CZ,2012,20,4,0.2
CZ,2013,21,3,0.14285714285714285
CZ,2014,22,5,0.22727272727272727
CZ,2015,24,2,0.08333333333333333
CZ,2016,24,1,0.041666666666666664
CZ,2017,24,3,0.125
CZ,2018,25,1,0.04
CZ,2019,24,3,0.125
CZ,2020,24,3,0.125
CZ,2021,25,0,0.0
CZ,2022,25,3,0.12
CZ,2023,25,3,0.12
CZ,2024,25,2,0.08
