geo,time,subjective_poverty,arop,unemployment_rate,real_gdp_pc,severe_mat_soc_deprivation,aic_pps_pc,gdp_pps_pc,housing_cost_overburden,arrears,unexpected_expenses,real_gdp_pc_k,aic_pps_pc_k,gdp_pps_pc_k,debt_to_income,arop_before_transfers,transfer_effect,pct_below_peak,ltu_rate,cum_gdp_shortfall_2008base,cum_gdp_shortfall_ownpeak,cum_wage_shortfall_2008base,cum_wage_shortfall_ownpeak,cum_excess_unemployment,cum_excess_ltu,cum_threshold_shortfall,gdp_years_below_2008,gdp_years_below_peak,gdp_longest_streak_2008,gdp_longest_streak_peak,gdp_cum_negative_years,wage_years_below_2008,wage_years_below_peak,wage_longest_streak_2008,wage_longest_streak_peak,wage_cum_negative_years,slope5_real_wage,slope5_real_gdp,slope5_unemployment,years_worst_quintile_unemp,years_worst_quintile_wage,share_worst_unemployment,share_worst_ltu,share_worst_real_wage,share_worst_real_gdp,share_worst_threshold,share_worst_composite
AT,2015,13.4,13.9,6.1,43200.0,2.9,23093.3,35700.0,6.4,6.4,22.6,43.2,23.0933,35.7,85.46,44.4,30.5,0.5753739930955121,2.0,7.1643170788074855,8.402720839495515,4.514876983026824,8.999133090535878,0.6999999999999993,1.6000000000000003,0.0,3.0,3.0,3.0,3.0,3.0,0.0,6.0,4.0,6.0,3.0,0.3181706320928793,-72.0000000000042,0.3200000000000242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216
AT,2016,12.8,14.1,6.5,43550.0,3.3,23408.9,36400.0,7.2,6.5,22.6,43.55,23.408900000000003,36.4,84.86,44.8,30.699999999999996,0.0,2.4,7.1643170788074855,8.402720839495515,4.514876983026824,8.999133090535878,1.4999999999999991,2.6000000000000005,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,4.0,6.0,3.0,0.6998329233784575,32.00000000004517,0.3000000000000629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565
AT,2017,11.5,14.4,5.9,44260.0,3.4,23882.3,37000.0,7.1,5.9,20.6,44.26,23.8823,37.0,84.04,43.4,29.0,0.0,2.3,7.1643170788074855,8.402720839495515,4.514876983026824,9.640151729814349,1.6999999999999993,3.5000000000000004,0.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0,4.0,6.0,4.0,0.6804193347956909,283.99999999994213,0.0900000000000047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216
AT,2018,11.3,14.3,5.2,45140.0,2.8,24516.7,38400.0,6.8,4.9,20.1,45.14,24.5167,38.4,83.34,43.3,28.999999999999996,0.0,1.7,7.1643170788074855,8.402720839495515,4.514876983026824,9.640151729814349,1.6999999999999993,3.8000000000000007,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,4.0,6.0,4.0,0.5828068149951809,519.9999999998643,-0.1799999999999224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664
AT,2019,10.7,13.3,4.8,45730.0,2.7,24965.0,39300.0,7.0,4.3,18.5,45.73,24.965,39.3,84.15,44.9,31.6,0.0,1.4,7.1643170788074855,8.402720839495515,4.514876983026824,9.640151729814349,1.6999999999999993,3.8000000000000007,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,4.0,6.0,4.0,0.5471706152570878,664.9999999999828,-0.3899999999999858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216
AT,2020,9.4,13.9,6.0,42650.0,3.0,23604.3,37400.0,6.3,5.3,17.6,42.65,23.6043,37.4,86.08,42.4,28.5,6.735184780231795,1.7,8.597180494568988,15.137905619727306,4.514876983026824,9.640151729814349,1.9999999999999991,4.1000000000000005,0.0,1.0,1.0,3.0,3.0,4.0,0.0,0.0,4.0,6.0,4.0,0.5368117159945064,-33.0000000000513,-0.2099999999999646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565
AT,2021,10.1,14.7,6.2,44580.0,1.8,25686.7,40200.0,6.1,4.8,18.6,44.58,25.6867,40.2,86.14,44.9,30.2,2.514760551060573,2.0,8.597180494568988,17.65266617078788,4.514876983026824,9.640151729814349,2.499999999999999,4.700000000000001,0.0,0.0,2.0,3.0,3.0,4.0,0.0,0.0,4.0,6.0,4.0,0.6679013655536432,-185.0000000000725,0.1400000000000707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
AT,2022,11.9,14.8,4.8,46430.0,2.3,28670.4,44600.0,7.4,4.7,19.0,46.43,28.6704,44.6,80.14,43.6,28.8,0.0,1.2,8.597180494568988,17.65266617078788,4.686175330456024,13.285050620743236,2.499999999999999,4.700000000000001,0.0,0.0,0.0,3.0,3.0,4.0,1.0,1.0,4.0,6.0,5.0,-0.3103540118774667,143.00000000007768,0.0600000000000252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664
AT,2023,13.6,14.9,5.1,45670.0,3.7,30138.3,46400.0,6.0,6.9,22.8,45.67,30.1383,46.4,73.51,42.3,27.4,1.6368727116088737,1.1,8.597180494568988,19.289538882396755,5.678728171128526,17.751204004915422,2.499999999999999,4.700000000000001,0.0,0.0,1.0,3.0,3.0,5.0,2.0,2.0,4.0,6.0,6.0,-1.1323507956769596,365.99999999988734,-0.0599999999999648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
AT,2024,13.1,14.3,5.2,45140.0,3.7,31379.6,47500.0,6.3,7.5,20.9,45.14,31.3796,47.5,67.89,42.5,28.2,2.7783760499676933,1.1,8.597180494568988,22.067914932364445,5.678728171128526,18.05918643587681,2.499999999999999,4.700000000000001,0.0,0.0,2.0,3.0,3.0,6.0,0.0,3.0,4.0,6.0,6.0,-0.4698328461163655,607.0000000000015,-0.2699999999999843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
