geo,idx2024_vs_2008,peak_val,peak_year,pct_below_2008
EL,68.17670026845553,101.695926460717,2009,31.823299731544466
HU,74.1583020825865,100.14139433299039,2005,25.841697917413498
IT,90.60567933522121,100.74069254253531,2007,9.394320664778789
SE,97.41124943223365,118.49974262042484,2013,2.588750567766354
FI,98.77931749992844,103.62078119950178,2021,1.220682500071561
ES,101.5383016379697,104.25227351513978,2009,-1.5383016379696954
BE,102.5851016153395,103.51983952398406,2023,-2.5851016153394966
FR,102.67789608220498,107.36357368909157,2017,-2.677896082204981
NL,103.08624127028924,105.74017214538694,2020,-3.0862412702892357
AT,103.1656181125383,103.47360054349967,2021,-3.165618112538297
HR,108.32501579529912,108.32501579529912,2024,-8.325015795299123
CY,108.95583949413898,108.95583949413898,2024,-8.955839494138985
DK,110.23522966166499,112.941456669058,2021,-10.235229661664988
LU,111.84777585108465,111.84777585108465,2024,-11.847775851084648
DE,112.72114662345946,114.3655291210838,2019,-12.721146623459461
PT,117.32124307111164,117.32124307111164,2024,-17.32124307111164
CZ,119.12307359435992,127.51806447930564,2021,-19.123073594359923
IE,123.2752311542038,123.2752311542038,2024,-23.275231154203794
SI,124.94058331537623,124.94058331537623,2024,-24.94058331537623
PL,125.13783064112502,125.13783064112502,2024,-25.13783064112502
EE,131.7291632939427,142.36059155347567,2021,-31.72916329394269
LV,134.41262526482043,134.41262526482043,2024,-34.412625264820434
SK,136.38597838890416,139.05495063677543,2021,-36.385978388904164
MT,137.47978884971315,137.47978884971315,2024,-37.479788849713145
RO,138.25995750261524,138.25995750261524,2024,-38.25995750261524
LT,150.7252078272531,150.7252078272531,2024,-50.72520782725309
BG,266.50164419150013,266.50164419150013,2024,-166.50164419150013
