geo,time,nominal_comp_per_employee,hicp_index,real_wage_idx2008
AT,2000,31943.3,75.02,97.61079870744679
AT,2001,32418.0,76.74,96.84106771293834
AT,2002,33088.4,78.04,97.19717724030191
AT,2003,33653.4,79.05,97.59379794204327
AT,2004,34336.9,80.6,97.66100471067011
AT,2005,35025.1,82.3,97.56065214843665
AT,2006,36099.8,83.69,98.8840792477579
AT,2007,37163.6,85.53,99.60805295645721
AT,2008,38513.8,88.29,100.0
AT,2009,38983.0,88.64,100.81859864033358
AT,2010,39397.1,90.14,100.19403045171066
AT,2011,40225.5,93.35,98.7830144220066
AT,2012,41271.0,95.75,98.81010376572897
AT,2013,42137.7,97.77,98.80077646413046
AT,2014,42879.7,99.2,99.09122836510716
AT,2015,43723.7,100.0,100.23330528278174
AT,2016,44746.7,100.97,101.59300397329427
AT,2017,45455.2,103.22,100.95198533401579
AT,2018,46738.7,105.41,101.6459224144663
AT,2019,48040.0,106.98,102.94269913848129
AT,2020,48869.5,108.47,103.281705651034
AT,2021,50309.9,111.46,103.47360054349967
AT,2022,52722.6,121.07,99.82870165257081
AT,2023,56318.4,130.4,99.0074471593275
AT,2024,60398.3,134.21,103.1656181125383
BE,2000,37726.3,74.96,94.71276676525378
BE,2001,39107.1,76.78,95.85204689050872
BE,2002,40724.2,77.97,98.29216812804854
BE,2003,41536.8,79.16,98.74636948117958
BE,2004,42273.9,80.63,98.66645924806508
BE,2005,43028.3,82.67,97.94902960337373
BE,2006,44555.4,84.6,99.1114594507973
BE,2007,46126.6,86.13,100.7838359460284
BE,2008,47824.3,90.0,100.0
BE,2009,48349.2,89.99,101.10879350100966
BE,2010,49050.6,92.09,100.23646417924196
BE,2011,50632.3,95.18,100.10962691407003
BE,2012,52314.3,97.68,100.78796001956401
BE,2013,53564.7,98.9,101.92395624118106
BE,2014,54109.1,99.38,102.46256069607465
BE,2015,54210.3,100.0,102.01773993555577
BE,2016,54617.2,101.77,100.9958537531537
BE,2017,55667.3,104.03,100.70138563323131
BE,2018,56682.4,106.44,100.21604329815482
BE,2019,57856.6,107.77,101.02966498893711
BE,2020,57143.1,108.23,99.35964382950233
BE,2021,59970.9,111.71,101.02815039450664
BE,2022,64491.0,123.26,98.46249472379
BE,2023,69349.2,126.07,103.51983952398406
BE,2024,71693.9,131.52,102.5851016153395
BG,2000,2200.9,54.08,83.70938267454984
BG,2001,2494.8,58.06,88.38309702728264
BG,2002,2642.3,61.44,88.45887859115106
BG,2003,2752.0,62.88,90.02153379849356
BG,2004,2914.9,66.75,89.82203742322704
BG,2005,3182.4,70.78,92.48146891449439
BG,2006,3382.7,76.02,91.52634714809179
BG,2007,3810.8,81.78,95.8472290751169
BG,2008,4450.9,91.55,100.00000000000001
BG,2009,4810.4,93.81,105.47330785532574
BG,2010,5287.2,96.66,112.50956867831039
BG,2011,5644.9,99.94,116.17894257640208
BG,2012,6082.1,102.33,122.25344160781489
BG,2013,6617.4,102.72,132.50824074643728
BG,2014,6987.3,101.08,142.18529014682946
BG,2015,7381.5,100.0,151.82914129726572
BG,2016,7809.6,98.68,162.78341724049145
BG,2017,8629.7,99.85,177.7698642596441
BG,2018,9464.4,102.48,189.96101517346992
BG,2019,10119.0,104.99,198.24405474897603
BG,2020,10843.6,106.27,209.8810943557856
BG,2021,12068.7,109.3,227.11762685741962
BG,2022,13776.9,123.52,229.41654487384923
BG,2023,15629.2,134.15,239.63849497051305
BG,2024,17832.1,137.63,266.50164419150013
CY,2000,17758.7,74.91,89.92329452347965
CY,2001,18361.4,76.4,91.16187924537564
CY,2002,19265.9,78.53,93.05817698723838
CY,2003,20472.7,81.65,95.10859576233784
CY,2004,20994.3,83.2,95.71475866681946
CY,2005,22582.0,84.88,100.91549814105245
CY,2006,23581.3,86.79,103.06207715728995
CY,2007,23741.1,88.67,101.56053149634869
CY,2008,24399.2,92.55,100.0
CY,2009,25755.5,92.71,105.37661422305925
CY,2010,26050.4,95.09,103.91551276740725
CY,2011,26640.6,98.4,102.69510410777161
CY,2012,27099.5,101.45,101.32347191662723
CY,2013,25668.1,101.84,95.60402308626553
CY,2014,24738.0,101.57,92.38468213383142
CY,2015,24408.9,100.0,92.58679362438113
CY,2016,24184.3,98.78,92.86783815335711
CY,2017,24558.5,99.45,93.66943180937564
CY,2018,25017.6,100.23,94.67792914618943
CY,2019,26401.3,100.78,99.36920017405012
CY,2020,26545.3,99.67,101.02387334744215
CY,2021,27755.3,101.92,103.29691397189438
CY,2022,29777.8,110.17,102.52507494007209
CY,2023,32569.1,114.5,107.89494726793963
CY,2024,33633.3,117.09,108.95583949413898
CZ,2000,6330.6,73.8,52.10477251955027
CZ,2001,7174.5,77.1,56.52313667910597
CZ,2002,8548.4,78.2,66.39984646605438
CZ,2003,8914.1,78.2,69.24042761020256
CZ,2004,9610.1,80.2,72.7851080643406
CZ,2005,10689.7,81.5,79.67038227606731
CZ,2006,11900.1,83.2,86.87929282310064
CZ,2007,12894.8,85.6,91.50184234681535
CZ,2008,14981.4,91.0,99.99999999999999
CZ,2009,14046.7,91.5,93.24857541019352
CZ,2010,15253.9,92.6,100.05963189891825
CZ,2011,16123.0,94.6,103.52463552338375
CZ,2012,16025.2,98.0,99.32678426010158
CZ,2013,15492.1,99.3,94.7654514222678
CZ,2014,15028.4,99.8,91.46842418600401
CZ,2015,15649.1,100.0,95.05574245397628
CZ,2016,16571.2,100.7,99.95706161903587
CZ,2017,18272.2,103.1,107.6517681796103
CZ,2018,20308.1,105.1,117.3695852251019
CZ,2019,21854.8,107.8,123.14508085263823
CZ,2020,22059.5,111.4,120.28167471051297
CZ,2021,24163.4,115.1,127.51806447930564
CZ,2022,26954.8,132.1,123.9430812956489
CZ,2023,29511.1,147.9,121.20100369127539
