geo,time,real_gdp_pc,indexed_to_own_peak
AT,2008,43270,93.194055567521
AT,2009,41620,89.64031875942278
AT,2010,42280,91.06181348266207
AT,2011,43370,93.40943355589059
AT,2012,43450,93.58173594658626
AT,2013,43080,92.78483738961879
AT,2014,43070,92.76329959078183
AT,2015,43200,93.04329097566229
AT,2016,43550,93.79711393495585
AT,2017,44260,95.32629765237992
AT,2018,45140,97.22162395003231
AT,2019,45730,98.49235408141288
AT,2020,42650,91.85871203962955
AT,2021,44580,96.01550721516261
AT,2022,46430,100.0
AT,2023,45670,98.36312728839113
AT,2024,45140,97.22162395003231
BE,2008,39810,89.64197252870974
BE,2009,38740,87.23260526908354
BE,2010,39420,88.76379193875253
BE,2011,39670,89.32672821436613
BE,2012,39510,88.96644899797343
BE,2013,39440,88.80882684080161
BE,2014,39960,89.97973429407791
BE,2015,40310,90.76784507993695
BE,2016,40590,91.39833370862418
BE,2017,41030,92.38910155370412
BE,2018,41610,93.69511371312767
BE,2019,42400,95.47399234406666
BE,2020,40190,90.49763566764243
BE,2021,42530,95.76671920738572
BE,2022,43890,98.82909254672371
BE,2023,44190,99.50461607746003
BE,2024,44410,100.0
BG,2008,7110,62.753751103265664
BG,2009,6910,60.988526037069725
BG,2010,7060,62.31244483671668
BG,2011,7390,65.22506619593999
BG,2012,7530,66.46072374227714
BG,2013,7600,67.07855251544572
BG,2014,7770,68.57899382171227
BG,2015,8130,71.75639894086495
BG,2016,8490,74.93380406001765
BG,2017,8840,78.02294792586055
BG,2018,9170,80.93556928508384
BG,2019,9650,85.1721094439541
BG,2020,9440,83.31862312444837
BG,2021,10250,90.46778464254193
BG,2022,10740,94.79258605472198
BG,2023,10950,96.64607237422771
BG,2024,11330,100.0
CY,2008,25140,83.9398998330551
CY,2009,23980,80.06677796327212
CY,2010,23890,79.76627712854759
CY,2011,23390,78.09682804674458
CY,2012,22280,74.3906510851419
CY,2013,20830,69.54924874791318
CY,2014,20490,68.41402337228715
CY,2015,21140,70.58430717863105
CY,2016,22410,74.82470784641069
CY,2017,23500,78.46410684474124
CY,2018,24690,82.43739565943238
CY,2019,25790,86.110183639399
CY,2020,24630,82.23706176961603
CY,2021,27030,90.25041736227045
CY,2022,28850,96.32721202003339
CY,2023,29320,97.89649415692821
CY,2024,29950,100.0
CZ,2008,18330,83.12925170068027
CZ,2009,17350,78.68480725623583
CZ,2010,17770,80.58956916099773
CZ,2011,18120,82.17687074829932
CZ,2012,17970,81.49659863945578
CZ,2013,17970,81.49659863945578
CZ,2014,18370,83.31065759637188
CZ,2015,19270,87.3922902494331
CZ,2016,19760,89.61451247165533
CZ,2017,20760,94.14965986394557
CZ,2018,21320,96.68934240362812
CZ,2019,22050,100.0
CZ,2020,20980,95.14739229024943
CZ,2021,21830,99.00226757369614
CZ,2022,21910,99.36507936507937
CZ,2023,21680,98.3219954648526
CZ,2024,21950,99.54648526077098
DE,2008,38840,87.81370110784535
DE,2009,36810,83.22405607054036
DE,2010,38430,86.88672846484286
DE,2011,39880,90.16504634863215
DE,2012,40010,90.4589645037305
DE,2013,40100,90.66244630341397
DE,2014,40850,92.35812796744291
DE,2015,41230,93.21727334388424
DE,2016,41880,94.68686411937598
DE,2017,42960,97.12864571557766
DE,2018,43390,98.10083653628759
DE,2019,43790,99.00520009043636
DE,2020,42020,95.00339136332806
DE,2021,43730,98.86954555731404
DE,2022,44230,100.0
DE,2023,43450,98.23649106940991
DE,2024,43110,97.46778204838346
DK,2008,51270,87.38708027952957
DK,2009,48460,82.59757968297257
DK,2010,49010,83.53502641895346
DK,2011,49440,84.26793932162946
DK,2012,49260,83.96113857167207
DK,2013,49750,84.79631839100051
DK,2014,50110,85.40991989091529
DK,2015,50810,86.60303391852736
DK,2016,51950,88.54610533492415
DK,2017,53200,90.67666609851713
DK,2018,53920,91.90386909834669
DK,2019,54630,93.1140276120675
DK,2020,53540,91.25617862621442
DK,2021,56780,96.77859212544742
DK,2022,56530,96.35247997272882
DK,2023,56770,96.76154763933867
DK,2024,58670,100.0
EE,2008,17510,77.23864137626819
EE,2009,14980,66.07851786501985
EE,2010,15380,67.8429642699603
EE,2011,16590,73.18041464490516
EE,2012,17260,76.13586237318042
EE,2013,17630,77.76797529775033
EE,2014,18280,80.63520070577856
EE,2015,18650,82.26731363034848
EE,2016,19190,84.64931627701809
EE,2017,20270,89.4133215703573
EE,2018,20970,92.50110277900309
EE,2019,21650,95.50066166740186
EE,2020,20960,92.45699161887957
EE,2021,22670,100.0
EE,2022,22370,98.67666519629466
EE,2023,21210,93.55977062196736
EE,2024,21060,92.89810322011469
EL,2008,21420,100.0
EL,2009,20490,95.65826330532212
EL,2010,19300,90.10270774976658
EL,2011,17420,81.32586367880485
EL,2012,16050,74.92997198879551
EL,2013,15800,73.76283846872082
EL,2014,16030,74.83660130718954
EL,2015,16100,75.16339869281046
EL,2016,16160,75.44351073762839
EL,2017,16430,76.70401493930906
EL,2018,16810,78.4780578898226
EL,2019,17210,80.34547152194212
EL,2020,15660,73.10924369747899
EL,2021,17110,79.87861811391222
EL,2022,18160,84.78057889822595
EL,2023,18600,86.83473389355743
EL,2024,19020,88.79551820728291
ES,2008,25760,92.66187050359713
ES,2009,24590,88.45323741007195
ES,2010,24510,88.16546762589928
ES,2011,24260,87.26618705035972
ES,2012,23560,84.74820143884892
ES,2013,23310,83.84892086330935
