geo,pre_gap_2003_2008,post_gap_2019_2024,widening
EL,30.433333333333334,50.23333333333334,19.800000000000008
DK,-4.033333333333332,-1.7333333333333334,2.299999999999999
FR,3.2800000000000002,4.750000000000001,1.4700000000000006
BE,2.8333333333333335,3.7000000000000006,0.8666666666666671
AT,-1.8166666666666664,-2.85,-1.0333333333333337
FI,-4.04,-5.083333333333333,-1.043333333333333
IE,5.1833333333333345,4.133333333333333,-1.0500000000000016
LU,-6.633333333333333,-8.983333333333334,-2.3500000000000014
DE,-5.674999999999999,-8.100000000000001,-2.4250000000000025
SE,-2.5,-7.833333333333333,-5.333333333333333
EE,-6.1,-11.566666666666668,-5.466666666666669
SK,21.15,15.366666666666667,-5.783333333333331
ES,9.62,1.5500000000000014,-8.069999999999999
NL,2.8000000000000003,-5.983333333333333,-8.783333333333333
SI,12.55,2.35,-10.200000000000001
LT,7.025000000000001,-6.683333333333334,-13.708333333333336
PT,19.7,5.716666666666666,-13.983333333333334
IT,17.1,2.099999999999999,-15.000000000000002
HU,25.85,10.583333333333334,-15.266666666666667
CZ,18.7,3.1333333333333333,-15.566666666666666
RO,24.95,7.233333333333334,-17.716666666666665
CY,31.55,12.65,-18.9
LV,22.15,0.9999999999999994,-21.15
MT,23.375,-0.4499999999999993,-23.825
PL,25.1,0.11666666666666625,-24.983333333333334
BG,47.06666666666666,18.016666666666666,-29.049999999999997
