geo,time,life_satisfaction
AT,2013,7.8
AT,2018,8.0
AT,2021,8.0
AT,2022,7.9
AT,2023,7.7
AT,2024,7.6
AT,2025,7.7
BE,2013,7.5
BE,2018,7.6
BE,2021,7.5
BE,2022,7.6
BE,2023,7.7
BE,2024,7.6
BE,2025,7.6
BG,2013,4.8
BG,2018,5.4
BG,2021,5.7
BG,2022,5.6
BG,2023,5.9
BG,2024,6.2
BG,2025,6.3
CY,2013,6.2
CY,2018,7.1
CY,2021,6.7
CY,2022,7.1
CY,2023,7.4
CY,2024,7.4
CY,2025,7.4
CZ,2013,6.9
CZ,2018,7.4
CZ,2021,7.3
CZ,2022,7.4
CZ,2023,7.4
CZ,2024,7.4
CZ,2025,7.4
DE,2013,7.3
DE,2018,7.4
DE,2022,6.5
DE,2023,7.0
DE,2024,7.0
DE,2025,7.0
DK,2013,8.0
DK,2018,7.8
DK,2021,7.5
DK,2022,7.6
DK,2023,7.5
DK,2024,7.6
DK,2025,7.7
EE,2013,6.5
EE,2018,7.0
EE,2021,7.2
EE,2022,7.2
EE,2023,7.2
EE,2024,7.1
EE,2025,7.3
EL,2013,6.2
EL,2018,6.4
EL,2021,6.8
EL,2022,6.7
EL,2023,6.9
EL,2024,6.7
EL,2025,6.9
ES,2013,6.9
ES,2018,7.3
ES,2021,7.2
ES,2022,7.1
ES,2023,7.2
ES,2024,7.2
ES,2025,7.2
EU27_2020,2013,7.0
EU27_2020,2018,7.3
EU27_2020,2022,7.1
EU27_2020,2023,7.3
EU27_2020,2024,7.2
EU27_2020,2025,7.2
FI,2013,8.0
FI,2018,8.1
FI,2021,8.1
FI,2022,7.9
FI,2023,7.8
FI,2024,7.8
FI,2025,7.8
FR,2013,7.1
FR,2018,7.3
FR,2021,6.8
FR,2022,7.0
FR,2023,7.1
FR,2024,7.1
FR,2025,7.1
HR,2013,6.4
HR,2018,6.3
HR,2021,6.8
HR,2022,6.8
HR,2023,7.1
HR,2024,7.2
HR,2025,7.4
HU,2013,6.1
HU,2018,6.5
HU,2021,6.5
HU,2022,6.9
HU,2023,7.2
HU,2024,7.1
HU,2025,7.1
IE,2013,7.5
IE,2018,8.1
IE,2021,7.3
IE,2022,7.4
IE,2023,7.6
IE,2024,7.5
IE,2025,7.6
IT,2013,6.6
IT,2018,7.0
IT,2021,7.2
IT,2022,7.2
IT,2023,7.2
IT,2024,7.2
IT,2025,7.1
LT,2013,6.7
LT,2018,6.4
LT,2021,7.0
LT,2022,7.1
LT,2023,7.2
LT,2024,7.2
LT,2025,7.3
LU,2013,7.4
LU,2018,7.5
LU,2021,7.4
LU,2022,7.2
LU,2023,7.3
LU,2024,7.2
LU,2025,7.4
LV,2013,6.5
LV,2018,6.7
LV,2021,6.7
LV,2022,6.8
LV,2023,6.9
LV,2024,6.9
LV,2025,6.9
MT,2013,7.1
MT,2018,7.5
MT,2021,7.1
MT,2022,7.4
MT,2023,7.4
MT,2024,7.5
MT,2025,7.6
NL,2013,7.8
NL,2018,7.7
NL,2021,7.7
NL,2022,7.7
NL,2023,7.6
NL,2024,7.6
NL,2025,7.6
PL,2013,7.3
PL,2018,7.7
PL,2021,7.5
PL,2022,7.7
PL,2023,7.6
PL,2024,7.6
PL,2025,7.7
PT,2013,6.2
PT,2018,6.7
PT,2022,7.0
PT,2023,7.1
PT,2024,7.3
PT,2025,7.3
RO,2013,7.2
RO,2018,7.4
RO,2021,7.7
RO,2022,7.7
RO,2023,7.7
RO,2024,7.7
RO,2025,7.8
SE,2013,7.9
SE,2018,7.8
SE,2021,7.6
SE,2022,7.5
SE,2023,7.5
SE,2024,7.4
SE,2025,7.4
SI,2013,7.0
SI,2018,7.2
SI,2021,7.6
SI,2022,7.6
SI,2023,7.7
SI,2024,7.7
SI,2025,7.6
SK,2013,7.0
SK,2018,7.1
SK,2021,7.1
SK,2022,7.0
SK,2023,7.3
SK,2024,7.3
SK,2025,7.4
