geo,coef,p,rank
EL,20.305647058823496,2.584192796394196e-77,1
HR,11.983717105263079,0.0,2
EE,6.871294117646942,3.791441156026972e-07,3
IE,6.7734117647060135,5.627237157413323e-07,4
DK,5.482588235294115,5.825997920327647e-05,5
FR,5.228705882352938,0.0001288189259045961,6
BE,4.262117647058815,0.0018863975456174897,7
DE,3.595294117647076,0.008922878090730368,8
LU,3.1120000000000747,0.023816106124672363,9
FI,2.858117647058841,0.038056206475528515,10
AT,2.2524705882354605,0.10260018256870061,11
LV,1.7049411764705518,0.21707288437687722,12
LT,1.3990588235294583,0.3113211043512699,13
SI,0.5089411764705893,0.7128600846734222,14
NL,0.4538823529411844,0.7427631828602512,15
ES,0.1510588235293826,0.913028402491049,16
SE,-1.6750588235293948,0.22526044358658814,17
SK,-2.354117647058829,0.08793205662000014,18
HU,-2.372470588235254,0.08547235145238322,19
CY,-3.387999999999961,0.013794524791782975,20
CZ,-4.008941176470551,0.0034989958855464235,21
IT,-5.776941176470599,2.2134618991967507e-05,22
PT,-6.1134117647059245,6.866501320967084e-06,23
RO,-6.471294117647083,1.8304820744424147e-06,24
MT,-10.661882352941173,3.808284694181415e-16,25
BG,-10.824000000000003,1.1999542686305451e-16,26
PL,-11.313411764705934,3.14291614792754e-18,27
