year,coef,se,p,note
2007,-0.9599999999996989,0.6981251091625592,0.16909682014096772,
2008,0.0,0.0,,base year
2009,0.9079999999999586,0.9349533992182824,0.3314629341963854,
2010,0.3135288461538188,1.372355146892476,0.8192883154513291,
2011,4.255836538461594,1.4477566935117183,0.0032862817358176454,
2012,12.167375000000028,1.287271125663271,3.3219954793483078e-21,
2013,16.217375000000118,1.281458705009439,1.0443966221019985e-36,
2014,19.148144230769304,1.1787518866314348,2.446323369387766e-59,
2015,22.128913461538446,1.1395854910835292,5.395693108658982e-84,
2016,23.075067307692326,1.2537888872728968,1.2141301436564291e-75,
2017,27.267375000000037,1.327980892275143,1.093151280301969e-93,
2018,27.490451923076876,1.3502667977471199,3.842335396551065e-92,
2019,27.759682692307713,1.6373194860244056,1.7873612446867342e-64,
2020,27.66352884615392,1.740821812784183,7.306453024502373e-57,
2021,28.77122115384617,1.8428219969941926,5.976249594851043e-55,
2022,26.009682692307745,1.795131849485866,1.4217794934774877e-47,
2023,24.628913461538495,2.1545245837300855,2.918698401238031e-30,
2024,24.105836538461645,2.281980943710958,4.396769746047704e-26,
2025,25.125067307692277,2.30612457543735,1.2185937355351184e-27,
