dropped_control,coef,p
PL,19.884926470588177,2.9425758016805806e-81
BG,19.904534313725346,4.940129281541717e-80
MT,19.911029411764652,1.1913431617315388e-79
RO,20.07892156862739,5.18784954181946e-73
PT,20.093259803921505,1.1048198213499813e-72
IT,20.106740196078373,2.104203993046163e-72
CZ,20.177573529411625,2.290715437300361e-71
CY,20.20245098039201,3.6343061892108236e-71
HU,20.243137254901896,5.170847386035603e-71
SK,20.24387254901955,5.180419096148038e-71
SE,20.27107843137249,4.960572787872848e-71
HR,20.305647058823475,3.920961636916265e-77
ES,20.34424019607836,1.5013149141002406e-71
NL,20.356372549019554,1.0560941210834397e-71
SI,20.35857843137249,9.859455394634062e-72
LT,20.39424019607838,2.638689292064067e-72
LV,20.406495098039162,1.5306059776252584e-72
AT,20.428431372548907,5.1183053178375786e-73
FI,20.452696078431305,1.265595470924292e-73
LU,20.462867647058765,6.6363083684512156e-74
DE,20.48223039215671,1.7552365327503271e-74
BE,20.508946078431244,2.2346505573008503e-75
FR,20.547671568627383,6.853576292971537e-77
DK,20.55784313725475,2.47356278496828e-77
IE,20.609558823529355,6.665044018250997e-80
EE,20.613480392156717,4.033553502025399e-80
