time,actual_greece_gap,synthetic_greece_gap,difference
2003,27.3,,
2004,25.5,,
2005,31.199999999999996,,
2006,32.1,,
2007,32.10000000000001,32.099999592150176,4.0784983212915904e-07
2008,34.4,34.39999841606178,1.5839382214721809e-06
2009,37.3,35.02173697551326,2.2782630244867406
2010,38.300000000000004,37.335472980198105,0.9645270198018991
2011,41.2,35.488495822614595,5.711504177385407
2012,49.99999999999999,35.753603640013964,14.24639635998603
2013,55.20000000000001,38.766396413423195,16.433603586576815
2014,55.99999999999999,36.17924158269164,19.820758417308355
2015,56.300000000000004,34.121774931876956,22.178225068123048
2016,55.60000000000001,31.84332667598688,23.75667332401313
2017,56.999999999999986,26.424758244221653,30.575241755778332
2018,55.599999999999994,24.716197622320145,30.88380237767985
2019,53.1,18.38182214221486,34.718177857785136
2020,52.10000000000001,12.654911671343243,39.445088328656766
2021,51.4,10.118806561174225,41.281193438825774
2022,49.60000000000001,12.382260619520313,37.2177393804797
2023,48.1,9.465737739194587,38.634262260805414
2024,47.1,9.202387708941654,37.89761229105835
2025,47.6,8.009581965337578,39.59041803466242
