geo,avg_residual,rank
EL,25.617673479571955,1
LU,18.507233036434872,2
CY,14.890403425254112,3
HR,10.17145976151798,4
BG,6.871022683666489,5
IE,2.2120932070132064,6
PT,2.110570743090249,7
MT,1.9276645726295634,8
LV,1.6426675112315672,9
CZ,1.3819617894478053,10
IT,1.335358410339244,11
PL,1.221778557432438,12
BE,0.35423407151190833,13
AT,0.296728441223134,14
HU,0.0293332916897338,15
SI,-0.1073734556941078,16
SK,-0.7158399966950227,17
DE,-1.209015708283163,18
NL,-1.3141859269978706,19
DK,-3.011576296241351,20
FR,-5.758603682108624,21
EE,-5.967256358633283,22
LT,-6.472185285011719,23
SE,-6.943347667457435,24
FI,-13.314649105406408,25
RO,-17.312130961376468,26
ES,-20.980773028621417,27
