geo,avg_residual,rank
EL,35.46163176832675,1
CY,19.369842159385414,2
LU,18.556603753118292,3
HR,11.038586538180997,4
BG,5.2938417679990275,5
IE,4.613348529462044,6
PT,3.0206495677917977,7
MT,2.5250280668693588,8
IT,2.370500082094843,9
LV,1.5881257149535646,10
BE,1.0745040056505455,11
HU,0.807362641245944,12
SK,0.5594858381048706,13
AT,0.4752306746163331,14
SI,0.2814479531771896,15
PL,-0.13938877950097073,16
CZ,-0.9304170161293868,17
NL,-2.7786683330653483,18
FR,-3.5229233414191063,19
LT,-5.514028902013389,20
DE,-5.680714241313828,21
DK,-7.056013397975491,22
SE,-7.880537637856484,23
EE,-8.13705849100169,24
FI,-11.55084804379953,25
RO,-14.800484674039492,26
ES,-18.883975687281048,27
